Unnamed: 0,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
18,Player D,Team C,27,177.10767152133843,81.17063406626472,Goalkeeper,22.0,7.0,0,3,79.42479896037224,12.784492091546667,59,8,12,3,0.43194501864211576,81,9,19.124463792500336,6.918208751956334,3.782608695652174,293.6429551508294,2019
19,Player C,Team A,29,198.2407884194627,74.22016890805935,Goalkeeper,16.0,7.0,8,0,,6.297427992240722,21,6,6,9,0.2912291401980419,72,8,17.094934622710376,3.9103799462179296,3.1176470588235294,132.10243048623974,2022
20,Player B,Team A,34,168.58940500486253,81.58437857486776,Defender,2.0,6.0,1,0,58.41821816331104,10.983692285235367,4,12,2,9,0.6118528947223795,46,4,10.321264039194151,1.5225628583928976,21.666666666666668,138.37564411073296,2021
21,Player A,Team C,21,180.66657039375497,102.39912899694735,Goalkeeper,,16.0,3,4,82.71051830944711,14.42631773937779,52,0,11,4,0.13949386065204183,59,7,17.180678578273387,1.8208493532141103,0.2,464.0486311808399,2020
22,Player B,Team B,19,,113.1554200578262,Defender,180.0,,2,0,86.6488735748236,10.494434898921996,11,8,25,5,0.29214464853521815,34,5,18.84373615329821,0.7547497563809945,0.4696132596685083,,2021
23,Player D,Team A,28,182.2737765253825,53.48370376120029,Midfielder,6.0,9.0,3,0,52.08072602571806,7.855732585777765,20,6,17,5,0.3663618432936917,11,3,19.205536817555817,2.316420124697782,10.714285714285714,228.07982661028356,2022
24,Player D,Team C,24,197.16083542867204,86.68780788588685,Forward,19.0,12.0,6,0,54.8582158521831,6.788021223140033,78,1,8,6,0.45606998421703593,31,2,15.247967760274955,0.5931193735607755,0.5,219.66744018602432,2022
25,Player B,Team C,19,,52.29848003587144,Midfielder,27.0,9.0,9,2,89.07904402641746,5.269499108682303,23,4,2,8,0.7851759613930136,11,5,8.170499657226697,3.4122624734762548,0.4642857142857143,681.7675433240829,2021
26,Player B,Team B,35,178.54703223092713,82.78866815170511,Goalkeeper,,13.0,1,0,71.99750107310864,11.2324494213694,12,10,23,3,0.19967378215835974,56,0,5.5959373004703625,5.193123260474834,,,2020
27,Player B,Team B,38,163.54089260858913,111.96979803678305,Forward,21.0,,1,0,,10.579990690113624,95,9,0,8,0.5142344384136116,38,1,7.208003422402337,1.9257844543395142,0.13636363636363635,205.26709411633058,2019
28,Player D,Team A,21,184.35996444207717,75.31131864942168,Goalkeeper,11.0,6.0,8,0,,9.617259154113508,25,14,20,0,0.5924145688620425,21,6,19.483203768409183,2.9006406608258652,7.916666666666667,244.7259628892672,2019
29,Player D,Team B,25,171.52847873792425,115.27152947564502,Goalkeeper,25.0,6.0,5,4,99.59829121768138,6.937714290675011,39,1,20,8,0.046450412719997725,94,3,11.931452362891541,0.046529160885434684,0.038461538461538464,554.0579971779389,2020
30,Player A,Team C,37,,,Forward,21.0,17.0,6,3,88.21922684528215,7.366318666355508,25,6,21,7,0.6075448519014384,10,4,17.824790222480864,6.953678348188955,2.0,755.0167432393403,2020
31,Player A,Team C,31,181.78125171618032,,Midfielder,9.0,15.0,4,0,89.62968871591761,14.58529003019732,99,8,6,1,0.17052412368729153,26,9,11.975662303374367,0.0,7.9,244.66635146603448,2022
32,Player D,Team B,29,,103.00166377887638,Goalkeeper,,7.0,4,0,117.12457060391243,5.204040883495347,44,3,18,6,0.06505159298527952,91,0,14.91226375189759,6.506969991047501,0.9047619047619048,216.65076976926412,2019
33,Player B,Team B,39,,57.24046166541336,Forward,11.0,15.0,3,4,59.61127211699995,8.634346649628178,29,2,11,6,0.9488855372533332,8,1,5.362111656835005,3.25790992425034,1.9166666666666667,299.64251034345284,2019
34,Player B,Team B,38,187.9286181397789,66.18059572938739,Midfielder,14.0,18.0,7,3,107.80679991343354,5.388125049904416,63,5,29,1,0.9656320330745594,8,3,8.747974140790502,1.9729110293602719,5.133333333333334,593.2966110155483,2022
35,Player A,Team B,35,184.9508876260341,77.59193182084543,Defender,50.0,14.0,6,4,,6.915693391464655,72,7,13,7,0.8083973481164611,60,7,11.544039200638839,0.20958161212410764,4.166666666666667,95.08385604557026,2019
36,Player D,Team A,28,,61.90748174084532,Midfielder,,,9,1,84.33548989896931,14.33136286760815,87,7,12,5,0.3046137691733707,72,9,14.459465707312448,0.8100973680511718,0.6842105263157895,485.1644976737443,2019
37,Player A,Team B,25,178.77739448616177,84.64381233436623,Midfielder,29.0,,1,1,,6.495627763326034,37,7,4,5,0.09767211400638387,34,3,7.5728178207976775,0.0,2.8666666666666667,278.6957377950411,2020
38,Player A,Team A,19,188.8129166591424,82.99577089910434,Forward,,,1,1,,11.007853084529618,17,4,11,4,0.6842330265121569,16,2,16.46827196405735,0.0,,,2022
39,Player C,Team C,32,181.17742962165107,116.93814386191669,Midfielder,25.0,14.0,5,0,106.62200036746307,8.469450738347065,8,12,7,7,0.4401524937396013,13,2,10.466070592043561,0.14120952648066565,0.5,770.7923346592708,2020
40,Player C,Team B,26,175.8195630473428,80.36095180271845,Defender,,,0,4,63.729517823234566,11.330481223434576,85,10,5,9,0.12203823484477883,87,4,17.261529038508264,7.002849449764515,16.0,148.99859520495997,2019
41,Player C,Team A,36,,104.99387630015984,Defender,,,6,0,,13.521428585391416,55,12,17,8,0.4951769101112702,76,2,6.469536355926009,0.32588594536912563,,,2020
42,Player B,Team B,37,184.4157546657621,,Goalkeeper,19.0,17.0,7,1,,7.865444103738795,37,11,6,4,0.034388521115218396,91,7,15.196348815235579,0.942641477230092,2.35,556.9449196041152,2020
43,Player D,Team C,25,,,Defender,26.0,15.0,9,3,,5.786231321344739,20,5,18,0,0.9093204020787821,22,4,9.399924998097653,2.9462284112817967,0.6666666666666666,302.2122479566269,2019
44,Player D,Team C,36,186.8697936190993,64.60673371581143,Goalkeeper,,,7,3,76.73657439330896,7.04179891363218,70,11,14,5,0.2587799816000169,96,6,16.93074761183927,4.731417741997298,46.0,283.6473999868356,2021
45,Player D,Team C,22,162.9898361454526,84.7220925977481,Defender,20.0,2.0,2,4,50.262977621558754,9.390902134735413,11,12,9,0,0.662522284353982,27,7,11.032556405636159,3.347755456783865,2.619047619047619,259.42152659646405,2021
46,Player D,Team B,28,178.42739893928535,74.3417847607148,Midfielder,18.0,0.0,6,3,93.68776609510093,10.15063862049679,35,1,8,4,0.31171107608941095,64,4,14.980244483953497,1.011548256973434,3.473684210526316,207.39049231413884,2021
47,Player C,Team B,32,195.6329652604251,,Goalkeeper,27.0,12.0,0,1,97.7793566497256,14.418952720779773,10,5,19,5,0.5200680211778108,2,7,19.0145790295471,5.7030210748189365,1.0714285714285714,753.6639538851192,2020
48,Player B,Team A,25,163.77849703204348,75.25647783720258,Defender,18.0,11.0,2,4,60.11562275433708,5.161019783286869,66,13,15,2,0.5467102793432796,97,2,5.309399480206466,1.380165027309072,3.0526315789473686,487.0217152704452,2021
49,Player B,Team C,36,199.5550284855017,107.84514471225027,Midfielder,3.0,8.0,5,4,92.11163636271318,12.576270731099868,26,12,26,0,0.18485445552552704,26,6,5.1667517350156045,0.7309535412019448,21.5,215.19116183605502,2019
50,Player C,Team B,25,197.96277574581688,81.64973385857132,Midfielder,27.0,1.0,8,1,98.66432258674772,5.725097358486809,62,4,19,1,0.9695846277645586,92,7,16.5541887826507,2.5012989175027665,0.5714285714285714,186.26052743457439,2021
51,Player B,Team C,36,163.13097922919502,86.65860325712816,Goalkeeper,19.0,8.0,4,1,66.34870616824895,5.779221053270395,70,2,3,2,0.7751328233611146,83,6,14.695895772621173,0.684445286244838,2.2,517.9687989856204,2019
52,Player C,Team C,35,,,Forward,4.0,7.0,4,1,59.25284142992803,11.54132291779806,65,7,9,2,0.9394989415641891,69,1,9.394695807566489,1.7890359726569351,9.2,128.33820801712415,2020
53,Player D,Team A,27,174.5253036103785,54.19854905340616,Midfielder,6.0,,8,1,115.33706567634441,14.089325566760174,73,3,9,1,0.8948273504276488,97,7,12.415950541613936,1.5803159624700522,12.571428571428571,145.88913720470126,2020
54,Player C,Team A,24,193.7883666830345,84.15703478535241,Midfielder,3.0,12.0,8,4,,7.876963341451503,66,13,7,5,0.5978999788110851,84,5,5.629034983983031,0.657712007200569,8.0,158.85531766336112,2019
55,Player D,Team A,26,176.73533350853086,104.18431948622812,Forward,10.0,1.0,5,3,63.798032096724114,7.693061789154317,80,1,0,6,0.9218742350231168,30,9,7.886684080418611,2.5742430112037207,2.5454545454545454,142.74243618376536,2021
56,Player D,Team A,18,177.63420450810062,,Goalkeeper,22.0,,4,1,87.10146333794832,11.177118237859396,64,10,2,4,0.0884925020519195,8,2,11.367445617907512,4.751644763609071,3.652173913043478,590.1492627720612,2019
57,Player A,Team C,36,,92.80721162303416,Defender,24.0,5.0,9,2,80.86767408154074,12.762808308635655,33,2,23,6,0.1959828624191452,38,3,17.510666243322234,3.035934533312502,3.68,325.3599437485875,2019
58,Player C,Team A,22,190.9790967710393,66.76253456741267,Defender,,,1,4,84.22553565451301,13.689591197249948,76,1,11,2,0.045227288910538066,61,6,12.195007742901272,5.325239617101471,11.666666666666666,,2022
59,Player A,Team A,36,,110.71828792571972,Midfielder,4.0,2.0,7,0,103.19026046874643,7.497061485849797,77,1,6,4,0.32533033076326434,81,2,13.79543756788968,0.9045929064423841,15.2,63.400321976172364,2019
60,Player C,Team A,18,183.72623982108536,72.89697657800555,Forward,19.0,13.0,7,3,84.30721120184913,12.4019917910108,80,2,21,2,0.388677289689482,65,0,18.106306879906708,0.2600540177026345,0.2,294.0074916055285,2022
61,Player C,Team A,32,167.46931976389484,73.03439718306367,Midfielder,14.0,,6,4,67.11206185385416,8.072120904941325,33,12,22,3,0.2713490317738959,67,5,9.63228370383268,3.022706045149638,2.8,556.4605763708114,2019
62,Player A,Team C,33,173.83798071452813,91.87357149625254,Goalkeeper,,,7,1,65.57501133045614,10.448119202902252,63,6,0,5,0.8287375091519293,46,2,15.51048981653084,0.29795618684816494,3.32,,2021
63,Player A,Team A,24,173.91874664620866,62.84940356839361,Midfielder,20.0,7.0,2,2,71.42332722801928,6.9085247129408405,16,9,23,3,0.3567533266935893,90,9,17.9250088801738,8.194507383027956,2.3333333333333335,400.9016013050794,2019
64,Player C,Team C,29,,,Defender,,0.0,2,0,,6.460020240830737,50,13,19,3,0.28093450968738076,95,5,8.039235510442651,8.31896127933096,,,2019
65,Player B,Team B,25,173.36545647504693,79.1642295083588,Forward,,19.0,1,3,96.91355176750082,14.353035501338375,55,0,0,6,0.5426960831582485,72,9,10.347172477217487,2.9042606367731914,5.333333333333333,629.9537062190866,2021
66,Player D,Team C,22,164.2944447380267,74.75465041980772,Goalkeeper,15.0,14.0,0,1,103.19494845404084,10.471992504045613,88,9,3,5,0.14092422497476265,43,2,19.697152608340325,2.0946878962010294,0.0625,553.6347141100861,2021
67,Player A,Team C,27,165.82514954101805,86.74140526039076,Midfielder,,,2,4,54.28830686081444,5.045895469930553,93,5,17,0,0.8021969807540397,59,5,19.748278471943166,1.6129508240228116,,,2019
68,Player D,Team A,38,161.3375194224439,91.97481008482764,Defender,9.0,17.0,2,4,96.91492661638048,12.93436544114628,47,10,4,7,0.07455064367977082,46,3,8.348448954409069,3.475430023710156,4.7,272.4793335745329,2022
69,Player B,Team B,22,178.80996341315017,89.66672176251151,Midfielder,,,6,3,54.0214104282069,11.908701320313588,99,0,0,0,0.9868869366005173,72,3,5.996687583389422,2.582419765377921,,,2022
70,Player B,Team B,34,198.17790779411956,,Defender,22.0,5.0,9,2,,8.258828045774965,61,2,0,8,0.7722447692966574,35,9,9.063824169650793,4.184084989196632,2.652173913043478,408.0601878483099,2019
71,Player B,Team B,22,164.62700894592467,71.54246616254741,Forward,,16.0,8,1,115.1151963875093,9.639642824923234,55,11,4,3,0.1987156815341724,39,9,10.965979359555309,6.879411243614943,0.8316831683168316,1782.8710806095894,2021
72,Player A,Team B,39,197.85057972012328,58.84983590085197,Goalkeeper,16.0,12.0,0,3,77.57392702568058,9.498794973126158,10,3,17,6,0.005522117123602399,92,1,11.615084013967454,5.9780287610373675,5.294117647058823,552.780155254892,2021
73,Player B,Team C,32,189.3344605892837,206.5130558003508,Midfielder,23.0,16.0,7,3,67.63430989315529,7.747696952085246,84,12,8,4,0.8154614284548342,51,3,14.282094609956355,0.13654147235056902,2.3333333333333335,285.37207587852873,2022
74,Player A,Team B,30,,109.55462678414774,Goalkeeper,,15.0,0,4,96.54548432900688,14.80557040097345,19,7,9,9,0.7068573438476171,4,3,18.492541401973195,2.9497490452615835,3.2666666666666666,485.0722999954564,2019
75,Player B,Team C,18,185.8111102129425,67.99043625557026,Forward,240.0,16.0,2,3,98.02531944201044,10.438850827298886,92,1,6,2,0.7290071680409873,80,6,9.955220178607437,1.8244912548777092,0.1950207468879668,1613.4135529763666,2020
76,Player D,Team C,28,193.06910593585127,78.49643693106138,Defender,,0.0,3,0,66.53813470672085,13.97279440952669,67,14,14,7,0.7712703466859457,77,4,17.749768032488127,0.9395825708079528,3.0,67.33613260178313,2020
77,Player D,Team C,18,164.27679457519287,,Forward,24.0,15.0,7,0,93.42120720002876,10.853553856617433,33,6,13,9,0.07404465173409036,84,7,6.402183813899404,0.6071611532103061,2.88,526.474069346588,2020
78,Player C,Team B,28,180.19017294262167,,Forward,,5.0,0,1,83.92644259379928,11.901831235685057,41,2,3,1,0.3584657285442726,51,6,5.628120484598221,0.0,,,2020
79,Player D,Team A,35,187.88364553043036,96.16431197613562,Goalkeeper,,7.0,1,3,63.72456864494555,5.295424434770871,40,0,13,9,0.11586905952512971,5,9,12.560677746851919,3.9886013277954566,4.666666666666667,141.31785145924601,2021
80,Player C,Team A,35,183.47281780294256,52.91222633487249,Forward,14.0,0.0,4,4,97.07163405373625,10.118185493943871,61,5,6,2,0.8631034258755935,55,8,5.894933349959073,2.0537960555148467,3.2,97.58585105733826,2020
81,Player D,Team B,38,193.3111628409318,100.5033957913812,Midfielder,140.0,,5,1,53.15345563166348,12.212767828882392,16,1,7,4,0.6232981268275579,20,7,10.887347018513452,4.029485881536225,0.16312056737588654,2787.9613754090033,2019
82,Player A,Team A,33,162.89086836045405,,Defender,60.0,14.0,4,2,65.89711495984795,6.21863038238032,11,12,23,4,0.3308980248526492,24,8,18.451671753038518,0.24466019518747228,6.571428571428571,258.76362893607296,2022
83,Player D,Team A,30,187.62804157996663,165.56039947420152,Forward,2.0,4.0,2,4,69.81308053574308,11.783249625348516,67,2,7,4,0.06355835028602363,36,0,8.6222455431121,2.840020056219337,6.333333333333333,51.75230619788279,2022
84,Player C,Team C,24,181.3611092153887,107.9369794898436,Midfielder,13.0,19.0,9,2,,5.84272226933333,40,13,27,6,0.3109823217156622,34,9,15.589636626873547,0.28586802048484516,6.857142857142857,211.9091004001922,2021
85,Player C,Team C,18,175.16643455919774,81.58507192948774,Defender,29.0,14.0,6,1,51.92165132097578,13.070229178088349,13,5,4,7,0.32518332202674705,54,2,9.535480885851003,1.3046861597440054,1.6666666666666667,375.32181311632684,2021
86,Player B,Team B,33,173.61099928936125,60.43628241377734,Goalkeeper,8.0,9.0,0,0,94.48884509241626,14.77783840176275,3,2,22,7,0.7296061783380641,34,4,5.673800828632034,0.8168574120460156,6.222222222222222,249.78238566117875,2020
87,Player A,Team B,18,184.8333053109677,118.95236915041718,Defender,2.0,4.0,1,4,82.95514717422404,11.267346011792528,97,11,10,2,0.6375574713552131,83,8,13.35035872115464,2.319406702380445,30.333333333333332,97.49812642717791,2020
88,Player D,Team A,34,,224.4999646903969,Goalkeeper,5.0,2.0,8,4,63.75114155732548,5.770778927831909,81,4,22,7,0.8872127425763265,17,7,17.522802358051276,0.1264541500742573,11.166666666666666,75.86313668840846,2019
89,Player B,Team C,23,179.8470370440446,103.99195432575098,Defender,19.0,5.0,3,1,,10.86753449498431,76,13,1,9,0.4722149251619493,5,9,11.142026725139292,0.0,0.05,190.3720036142144,2022
90,Player D,Team B,19,192.9889265630768,78.80581220294474,Forward,8.0,14.0,7,4,76.84619599596141,12.408630797975825,73,2,14,1,0.1195942459383017,89,6,14.259407396871305,2.2769615325235755,7.0,433.22128942181064,2019
91,Player D,Team B,34,352.1725105475174,62.86920088225085,Goalkeeper,0.0,,8,4,66.81378810374248,14.330959962247755,13,11,18,3,0.713244787222995,18,1,18.500353964865887,0.0,19.0,196.11999501825585,2022
92,Player B,Team B,23,164.09577851172708,115.89878269929508,Goalkeeper,80.0,,6,1,51.42982352024108,5.454586918052208,8,6,26,1,0.7607850486168974,55,5,16.845417691054816,0.0,5.555555555555555,236.44451517163492,2021
93,Player B,Team B,31,162.46022945834554,87.26457885619973,Goalkeeper,11.0,9.0,0,3,77.55503382067712,12.75042308812731,42,6,17,4,0.5612771975694962,53,3,7.90814599089229,0.0,1.75,340.5624917199316,2021
94,Player B,Team B,35,,109.66488222712395,Forward,3.0,3.0,4,1,54.10907573987525,6.3258170690357485,19,11,14,2,0.770967179954561,50,4,16.00075939047509,4.53621622632791,19.5,60.32611993665924,2022
95,Player B,Team B,23,175.2060056783068,73.94665040315981,Forward,25.0,10.0,5,4,90.50881779072016,12.905863772293106,0,0,18,9,0.49379559636439074,72,4,12.52839537740228,3.4574853517125046,1.4615384615384615,497.74415512183845,2019
96,Player B,Team A,27,173.48951003343367,,Defender,,19.0,7,1,54.42628261140516,13.88710285872585,92,5,24,9,0.5227328293819941,91,3,16.189502118291273,2.7496730971617085,0.15894039735099338,2721.373691142993,2020
97,Player D,Team C,35,188.7174809449028,118.98783364718274,Defender,40.0,6.0,9,4,,13.612428314330243,80,12,6,2,0.42754101835854963,79,3,12.417733257833273,0.5256181726468754,0.24390243902439024,893.1039855827064,2022
98,Player B,Team C,26,189.71286006339463,86.52831339463948,Forward,26.0,14.0,7,2,71.72758960896063,11.5287315745739,71,12,3,4,0.02541912674409519,45,3,6.919372461624542,5.878725212936836,1.8518518518518519,322.86076394643305,2020
99,Player A,Team B,25,162.0341587533496,59.84867967025224,Forward,28.0,,8,2,77.81008310585347,10.007656288003105,16,14,13,3,0.10789142699330445,13,1,13.548641700338587,3.5686835536658776,1.4827586206896552,,2022
100,Player C,Team C,27,168.8449305155606,65.37722745962952,Goalkeeper,16.0,,8,0,51.975394506036295,13.745867124007209,84,2,7,5,0.03142918568673425,16,0,12.382009885960098,5.33704253032659,2.9411764705882355,,2022
101,Player B,Team C,34,170.970474006356,83.73609955749046,Defender,29.0,11.0,3,1,60.19162237690366,10.190712602536172,88,6,28,4,0.6364104112637804,86,1,12.768826004621626,0.4249805243712118,3.2333333333333334,753.2866397551749,2019
102,Player B,Team C,23,181.9044793657124,52.9729637341888,Defender,,,5,1,59.97505920024835,6.901111279774918,19,0,22,9,0.3143559810763267,84,6,18.183536804688053,0.8226765741092358,,,2020
103,Player D,Team B,31,165.780608956278,82.37737897648103,Goalkeeper,5.0,5.0,2,2,79.9485307345266,14.428330321042347,58,9,9,4,0.5085706911647028,13,0,18.42255570059377,0.5209373931842484,4.5,138.40642488997946,2022
104,Player B,Team B,39,165.35764877600002,79.32585894560893,Goalkeeper,25.0,17.0,0,2,63.18177663176907,8.732906598769134,88,2,12,2,0.907566473926093,20,5,11.803056601485775,0.40060480764788675,3.230769230769231,819.339751124284,2020
105,Player B,Team C,39,,104.55353857236408,Goalkeeper,28.0,,5,2,,11.243490281584346,84,11,5,3,0.24929222914887494,66,3,11.835980619201326,3.146691897959629,2.7586206896551726,850.4700970488658,2020
106,Player B,Team C,23,192.16811629191125,74.84593751424693,Midfielder,14.0,5.0,0,0,50.91765361492522,6.991458079941903,12,9,3,2,0.41038292303562973,99,1,12.72780438308924,0.8018410266062428,4.133333333333334,223.7602651771319,2021
107,Player D,Team B,24,167.2261960836468,118.77841330777196,Midfielder,0.0,14.0,8,0,92.0272417639676,6.10539635991561,76,1,4,2,0.7555511385430487,47,2,12.793839175013854,0.0,55.0,188.91079306668627,2019
108,Player B,Team A,29,176.26271231621965,125.30778870212643,Forward,12.0,18.0,5,3,98.57740985604178,10.510384502187822,46,13,9,9,0.22879816549162246,19,6,19.25580716268669,1.7277524579465653,6.769230769230769,182.77829474999245,2019
109,Player C,Team C,20,,91.36906794776944,Defender,15.0,4.0,0,1,85.16309966540891,10.54594549833534,49,7,23,8,0.07697990982879299,45,5,14.741007010662402,1.0257316733930912,5.25,164.66766330516094,2020
110,Player D,Team A,31,191.6401629626163,,Goalkeeper,1.0,,2,0,,8.697423395011974,93,7,12,9,0.289751452913768,37,5,9.16185492331916,0.7222538902823181,35.0,,2019
111,Player C,Team C,39,180.40851665912487,101.37047887957874,Goalkeeper,28.0,,0,4,56.10054709601708,8.117385326417182,76,10,18,5,0.16122128725400442,54,7,12.973051954309849,0.33446015749317404,2.689655172413793,,2019
112,Player D,Team A,36,165.11398947973868,119.632758164338,Defender,29.0,,1,1,,8.74173487534935,39,13,10,9,0.9296976523425731,6,7,14.408353743619744,2.038445761507658,0.8666666666666667,,2021
113,Player B,Team A,33,189.55968252624976,107.33970464261424,Midfielder,180.0,11.0,5,3,72.86608616550379,12.951455998625017,6,8,27,1,0.808120379564417,14,5,14.596575815209468,0.6970566209864484,0.5248618784530387,3118.8881198020867,2019
114,Player C,Team A,24,175.87551912899676,88.89924785042109,Defender,22.0,,6,2,70.99381544683521,8.577347919252333,54,12,18,0,0.6334037565104235,4,0,13.77881339357274,3.148235121183973,0.8260869565217391,,2019
115,Player D,Team B,25,170.5169699052859,83.93189501797843,Forward,1.0,6.0,0,3,68.91517906005205,14.213726736551695,50,8,4,2,0.8714605901877177,86,9,7.6660423193230605,5.010487115446629,4.0,100.17596417046053,2022
116,Player A,Team A,35,175.0199448808288,,Midfielder,20.0,,9,1,74.83767300257347,6.129624677910802,75,10,24,2,0.8036720768991145,55,6,5.503897836192612,1.687658605210619,0.5714285714285714,412.236665251675,2022
117,Player B,Team A,30,179.91026254427584,,Defender,240.0,1.0,4,2,102.6326517658622,14.315762948059138,1,12,4,3,0.18657005888603584,34,7,10.067645785502815,0.5432675539153138,1.64,256.5728707820746,2022
118,Player D,Team A,38,347.44924131336074,119.2444568058665,Defender,11.0,,5,3,51.914729836427966,11.895480055380526,13,1,0,3,0.8925589984899778,27,4,11.412832318403805,2.53860084999943,3.75,,2022
119,Player A,Team C,26,169.6762309036703,77.75774592951389,Forward,11.0,,3,3,,8.443509254874101,16,6,20,4,0.5393422419156507,7,3,5.927063593641299,0.07473291515445979,0.8333333333333334,324.94174605880545,2019
120,Player D,Team A,27,175.94008115215922,119.36422323561588,Defender,25.0,12.0,5,1,59.99992400593885,5.068552232763263,76,6,8,3,0.8074401551640625,3,6,17.22451007029769,0.20081715769840136,1.1153846153846154,731.81079193969,2020
121,Player A,Team C,38,,60.9148376521682,Midfielder,7.0,4.0,4,0,63.90351277928757,13.024316220114343,0,3,6,1,0.8960912999234932,47,5,10.161161562654106,0.46404515402571367,7.375,134.3893822564673,2022
122,Player B,Team A,26,,67.74848431523364,Goalkeeper,11.0,4.0,6,4,58.47288097829957,14.693274629715807,0,5,8,0,0.3180034749718639,97,5,18.70449119267757,3.695666724326408,2.3333333333333335,252.04105212727438,2022
123,Player C,Team A,32,166.83779574270343,56.231128731372735,Goalkeeper,,19.0,3,3,,14.824393609129366,25,0,25,9,0.11005192452767676,2,2,7.316151617633977,0.1838643022872365,,,2020
