PU_ID,Season,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining
98,2020,6.92,5.88,1.85,322.86
101,2019,12.77,0.42,3.23,753.29
103,2022,18.42,0.52,4.5,138.41
104,2020,11.8,0.4,3.23,819.34
106,2021,12.73,0.8,4.13,223.76
107,2019,12.79,0.0,55.0,188.91
108,2019,19.26,1.73,6.77,182.78
109,2020,14.74,1.03,5.25,164.67
113,2019,14.6,0.7,0.52,3118.89
115,2022,7.67,5.01,4.0,100.18
117,2022,10.07,0.54,1.64,256.57
120,2020,17.22,0.2,1.12,731.81
121,2022,10.16,0.46,7.38,134.39
122,2022,18.7,3.7,2.33,252.04
128,2019,5.15,0.0,0.15,417.9
130,2021,18.9,0.0,17.25,219.84
131,2022,10.77,0.38,5.11,106.94
132,2020,6.4,1.1,1.85,254.78
135,2021,7.78,4.2,1.11,491.84
140,2021,7.41,3.34,0.11,5050.05
141,2019,9.13,2.12,3.64,235.18
142,2021,13.92,0.0,7.6,395.76
143,2019,10.41,3.0,2.9,230.77
144,2022,17.66,1.58,3.5,153.12
145,2022,15.75,4.55,30.0,159.73
147,2019,14.37,3.88,4.0,332.97
151,2020,7.6,0.89,0.24,304.77
154,2019,7.64,3.64,8.5,244.83
157,2021,6.46,0.73,17.5,154.64
158,2022,6.81,1.74,3.39,599.94
159,2022,13.76,0.0,2.07,792.03
160,2020,19.69,7.53,3.71,356.48
161,2020,13.58,0.51,2.04,626.92
162,2019,19.24,1.51,11.71,239.63
163,2020,11.66,0.0,1.48,299.48
168,2020,17.96,1.42,1.11,346.55
169,2022,5.44,0.51,10.11,125.41
170,2019,11.6,0.27,2.83,578.51
172,2022,14.11,0.94,0.09,2348.03
173,2019,9.14,4.81,11.0,278.95
176,2022,15.3,0.88,0.91,226.54
178,2020,16.07,3.37,1.1,277.36
179,2021,10.12,1.04,2.83,168.03
180,2022,19.99,0.91,20.67,112.3
183,2020,7.93,0.53,5.87,255.24
184,2022,9.71,1.82,4.47,245.65
185,2020,11.79,0.42,1.2,373.02
186,2021,17.76,2.52,1.56,240.34
193,2019,15.26,0.09,5.82,452.9
196,2022,14.72,0.57,2.48,198.2
200,2021,19.99,0.95,8.55,244.5
202,2021,16.28,1.64,66.0,154.15
203,2019,14.93,1.22,31.0,258.22
205,2020,15.96,2.98,3.71,626.52
207,2020,14.47,4.58,4.71,344.77
209,2021,11.73,0.99,1.5,238.87
210,2020,6.82,0.0,3.0,174.98
212,2019,8.98,0.39,2.0,460.48
213,2019,10.77,1.73,1.33,116.85
214,2022,5.26,0.56,9.0,219.64
216,2019,17.13,6.11,17.0,70.11
217,2020,13.14,0.87,2.2,566.74
219,2020,12.05,4.59,2.48,504.67
220,2022,9.37,0.68,0.52,1559.61
221,2020,12.16,3.09,5.46,234.32
222,2019,11.07,1.61,3.16,261.53
224,2021,5.62,0.72,0.81,521.76
228,2020,7.66,1.59,3.5,539.83
229,2022,12.97,0.0,3.38,418.58
230,2022,5.65,0.56,0.31,321.32
234,2020,6.71,0.03,1.43,399.86
235,2022,12.7,3.98,2.13,204.72
236,2022,12.82,2.16,1.68,720.1
237,2019,19.57,3.55,2.8,395.61
238,2019,14.82,4.68,1.82,395.93
239,2022,9.32,1.71,16.67,160.47
240,2020,8.61,0.0,2.29,217.25
241,2020,6.92,0.49,1.96,273.67
242,2019,16.35,0.95,3.06,198.36
244,2021,14.15,2.28,2.92,184.51
245,2021,5.61,1.79,0.3,247.64
247,2021,14.63,4.57,8.25,225.46
249,2021,13.81,6.75,2.33,237.51
252,2021,7.64,1.35,34.5,112.64
257,2020,6.16,0.0,0.31,580.84
259,2022,8.5,0.25,0.92,236.14
263,2022,15.71,4.55,40.0,26.78
266,2022,15.3,3.03,11.83,94.39
271,2021,12.73,1.47,8.67,145.79
273,2020,5.67,2.36,0.11,497.74
275,2021,15.98,0.31,22.25,122.61
276,2019,11.91,2.87,1.48,622.63
277,2021,15.15,4.93,0.8,653.63
282,2022,7.99,4.88,3.33,216.58
284,2019,11.6,0.0,2.69,502.35
288,2019,7.44,4.45,1.43,335.92
289,2020,8.77,0.2,4.05,337.73
292,2020,12.06,1.36,1.39,303.03
295,2020,18.35,6.06,23.0,92.15
298,2022,17.96,3.04,1.07,379.82
299,2020,12.62,0.18,4.26,356.63
300,2020,19.02,2.63,6.6,362.81
302,2020,19.88,1.92,33.0,347.2
303,2021,14.35,1.98,0.88,132.69
309,2022,5.84,0.0,1.21,140.91
310,2019,13.87,1.53,3.76,423.3
311,2020,10.59,1.71,4.57,155.39
312,2021,10.8,0.51,0.12,221.49
313,2020,18.27,0.14,27.5,139.96
314,2020,17.81,5.24,12.0,141.25
315,2022,13.98,0.0,1.6,129.43
317,2019,12.13,4.65,0.17,209.56
318,2022,11.12,0.91,7.25,160.61
320,2019,6.54,2.88,0.2,4062.43
321,2022,13.15,1.36,5.08,325.45
323,2020,14.91,2.66,0.41,430.5
324,2021,9.79,0.1,4.71,229.46
327,2021,19.89,0.75,0.85,584.32
328,2021,12.61,3.67,19.6,116.71
329,2020,5.36,2.15,4.04,283.11
330,2020,13.12,4.51,19.67,176.89
339,2022,9.15,0.38,0.83,404.29
344,2021,10.3,0.73,0.01,1958.94
345,2019,17.87,6.29,0.21,2520.6
346,2022,5.41,0.47,0.75,162.19
352,2020,13.3,1.68,5.15,278.03
354,2022,8.66,1.27,2.8,59.62
358,2020,14.52,3.7,31.33,81.96
359,2019,6.56,4.24,8.0,174.25
360,2020,12.79,0.0,16.33,97.45
362,2019,16.14,1.43,4.89,169.62
363,2021,8.52,1.8,4.88,122.56
364,2022,9.4,0.16,6.7,521.13
365,2022,13.54,1.48,93.0,77.67
369,2019,15.72,0.0,0.42,376.07
371,2019,6.34,2.93,2.4,103.9
372,2020,9.51,5.62,1.81,184.06
375,2022,19.72,2.21,6.0,29.11
377,2022,13.44,3.13,2.07,372.96
380,2022,7.96,2.3,4.18,583.67
382,2019,10.06,2.37,18.0,41.19
383,2021,16.57,1.59,2.93,215.91
385,2020,8.45,5.18,4.33,253.73
386,2019,5.13,3.61,4.33,380.2
387,2022,19.53,0.45,2.5,278.61
389,2020,15.8,0.0,4.81,367.89
390,2020,14.77,1.66,0.19,2064.8
393,2021,6.97,0.0,0.72,655.69
396,2020,13.38,0.0,0.76,396.38
398,2019,5.52,0.81,5.08,253.34
401,2020,6.23,1.31,6.4,345.37
403,2020,18.39,0.68,0.67,84.18
405,2020,19.94,1.3,3.6,436.02
406,2022,8.81,3.06,1.05,387.94
408,2021,8.55,0.81,1.5,213.19
412,2019,6.08,1.36,0.37,508.86
413,2019,15.4,0.0,5.8,405.48
415,2019,14.27,1.63,4.67,294.89
416,2021,18.19,3.02,4.6,342.17
417,2022,16.1,0.64,1.36,620.77
420,2021,11.84,3.48,3.0,53.5
422,2019,19.89,4.57,3.69,240.35
426,2020,12.55,0.91,1.26,570.27
430,2020,16.34,2.17,0.41,576.83
433,2022,9.02,0.64,0.88,397.23
440,2020,7.42,2.15,7.83,161.67
441,2019,13.0,1.28,0.75,279.89
443,2021,10.36,0.0,89.0,100.33
444,2020,19.38,0.17,3.88,206.98
445,2020,5.57,1.78,7.56,339.67
446,2020,18.9,2.97,5.75,158.7
448,2022,18.69,4.06,1.0,88.55
454,2020,10.71,0.94,0.82,214.88
455,2021,15.01,0.68,2.79,340.52
456,2022,19.62,0.25,2.48,422.95
457,2020,14.1,1.98,1.0,421.42
458,2019,15.82,2.75,4.8,408.58
460,2020,14.42,0.78,1.33,363.9
462,2019,18.29,6.38,2.37,446.02
463,2020,10.82,0.26,0.42,195.74
464,2022,15.19,1.98,8.0,131.6
468,2020,9.56,2.24,3.67,488.12
469,2021,8.81,0.0,4.07,337.78
470,2021,5.75,0.6,5.47,134.11
471,2021,17.55,8.58,0.5,68.46
473,2022,18.31,1.83,3.09,150.97
478,2022,12.37,3.21,4.27,230.43
484,2019,17.4,0.62,2.47,595.57
486,2020,10.9,0.51,2.05,262.27
487,2021,17.71,7.66,5.0,14.33
488,2021,18.8,2.68,3.69,429.65
491,2021,18.74,0.0,7.2,377.45
492,2019,7.84,3.85,1.57,392.23
497,2021,14.56,1.21,8.11,109.05
498,2019,19.28,0.25,6.14,314.95
500,2019,5.91,0.51,1.7,352.63
501,2019,14.06,0.0,4.38,275.91
502,2021,19.49,0.35,0.7,185.88
506,2020,8.67,0.46,2.38,236.48
509,2020,18.57,0.68,1.14,474.36
512,2019,6.01,6.65,19.4,131.93
513,2022,5.81,2.1,2.2,372.99
516,2022,12.93,0.0,18.6,253.26
517,2020,18.17,5.69,14.8,121.4
518,2020,17.16,3.29,0.13,326.38
523,2021,9.36,0.35,0.38,2011.14
525,2019,11.68,2.67,3.27,225.95
527,2019,6.55,0.76,3.5,242.29
528,2019,9.2,0.36,2.93,299.87
529,2019,13.06,0.09,0.46,587.57
530,2022,15.47,1.59,7.83,50.92
531,2022,14.46,2.03,7.15,255.44
532,2019,19.12,6.5,0.73,276.43
533,2019,16.93,3.98,2.87,684.17
535,2020,8.22,1.35,0.47,2351.37
537,2019,15.4,4.33,0.28,637.3
540,2020,14.08,0.11,2.9,507.55
541,2019,12.9,0.38,3.04,449.81
546,2022,11.01,0.06,0.54,299.16
549,2019,13.03,3.5,3.54,269.28
550,2019,13.94,0.02,0.25,335.74
551,2022,12.08,2.7,3.71,201.75
554,2022,6.3,3.93,2.11,392.85
555,2020,19.08,0.43,0.21,147.61
556,2022,9.67,0.28,51.0,85.53
558,2022,6.63,0.16,10.25,58.06
561,2021,16.13,0.29,0.58,674.53
562,2019,9.04,1.81,0.52,504.57
564,2021,9.18,4.33,7.0,116.81
568,2019,12.74,2.64,30.0,76.31
569,2019,8.57,1.63,0.08,682.34
571,2020,19.31,0.78,2.48,444.67
574,2022,10.53,1.81,1.71,228.82
575,2022,19.78,1.81,2.25,319.37
576,2022,10.52,3.32,17.0,96.14
577,2019,10.27,4.55,6.67,302.27
580,2021,19.64,0.67,4.23,215.41
581,2021,15.61,4.2,3.3,426.3
582,2021,16.32,3.5,4.55,443.89
584,2022,16.34,2.69,1.26,368.63
586,2019,12.29,0.57,81.0,55.78
587,2020,14.3,2.82,1.4,569.44
588,2020,13.06,0.13,6.91,103.03
590,2021,18.35,0.85,0.38,287.63
591,2022,10.33,2.07,2.0,428.8
593,2022,11.84,0.4,0.67,207.63
594,2022,8.12,1.21,14.0,285.13
595,2020,12.48,0.0,3.57,290.64
597,2021,14.26,0.0,4.72,168.94
602,2022,5.48,1.1,4.0,399.67
603,2022,14.5,3.44,4.26,341.65
604,2022,19.27,7.83,11.17,246.62
605,2019,6.19,0.0,31.67,167.43
606,2020,13.74,0.57,6.17,319.85
607,2020,18.73,0.56,0.27,1134.72
610,2022,12.12,2.23,8.91,412.83
613,2020,5.79,1.02,1.62,193.72
615,2022,5.07,0.13,0.31,496.22
617,2021,12.56,0.09,4.41,344.27
619,2020,9.61,0.58,3.24,331.98
623,2019,12.84,0.61,5.75,317.95
624,2019,18.26,5.32,3.21,211.94
625,2021,18.81,0.68,2.14,474.94
636,2020,19.27,2.21,2.0,217.94
637,2022,10.41,2.39,2.06,302.74
639,2019,6.8,1.53,73.0,78.88
642,2020,17.9,0.54,2.92,232.16
643,2020,5.05,2.6,2.29,174.08
646,2020,19.25,0.0,7.33,79.9
647,2019,7.31,0.0,7.8,249.38
648,2022,5.55,0.15,0.72,253.13
650,2020,12.93,0.02,4.6,438.47
653,2022,13.08,1.86,2.09,268.05
654,2019,18.95,7.4,3.48,777.82
655,2020,15.88,1.59,1.2,388.72
656,2020,8.97,0.24,1.37,382.0
657,2022,18.93,0.1,1.32,255.37
659,2020,11.21,2.69,1.52,360.17
665,2021,15.93,0.0,3.52,696.24
667,2022,19.35,0.0,0.33,238.3
670,2022,8.9,2.27,2.06,349.92
671,2022,5.72,1.17,2.3,356.66
672,2019,11.09,0.0,0.89,267.23
675,2022,19.85,0.0,1.32,954.08
676,2019,17.12,0.0,2.03,493.2
678,2022,15.86,0.38,17.6,167.18
680,2022,11.98,0.0,7.5,196.57
681,2022,16.78,0.06,1.11,176.6
684,2020,12.89,0.41,1.68,348.34
688,2019,13.57,3.0,0.15,698.55
689,2022,18.65,0.4,0.52,245.08
690,2021,19.64,6.64,2.18,132.26
692,2020,7.89,3.65,0.12,151.09
693,2020,15.15,0.32,4.14,185.59
697,2020,17.1,2.14,0.8,411.4
705,2021,12.13,0.0,5.14,367.32
709,2021,10.71,0.54,0.79,265.93
710,2019,5.11,0.26,0.46,1165.39
711,2022,8.78,5.86,0.71,444.97
714,2022,6.61,0.07,4.22,196.71
717,2022,9.82,1.23,0.22,234.24
718,2022,12.35,1.92,1.41,548.22
720,2021,19.18,0.13,1.04,389.22
722,2020,17.15,7.79,3.5,738.91
723,2022,13.91,3.94,3.12,154.23
724,2021,19.63,1.84,2.12,208.16
726,2019,16.62,4.38,4.22,402.54
730,2019,8.92,0.28,0.45,750.04
731,2020,6.83,1.15,51.0,245.27
732,2022,11.38,0.4,10.78,175.49
733,2020,19.15,1.96,9.8,152.84
736,2020,14.36,6.4,2.83,573.7
737,2021,6.99,0.62,0.5,103.19
738,2021,10.85,3.05,0.26,1014.61
739,2019,15.6,6.03,3.07,381.42
744,2020,8.64,8.5,3.03,164.44
745,2022,10.65,1.79,4.79,207.25
746,2020,13.11,6.89,6.38,427.86
748,2021,8.41,0.58,3.14,428.74
749,2020,16.67,1.45,2.84,238.55
751,2020,9.85,4.35,2.2,201.09
753,2022,8.87,0.02,0.12,535.81
756,2021,17.04,0.21,4.09,206.81
759,2019,12.91,2.64,0.46,728.65
760,2020,9.39,0.5,3.36,531.22
763,2021,15.6,1.03,9.57,248.38
765,2020,13.51,0.79,20.0,181.39
766,2022,7.56,2.34,1.75,321.53
770,2020,11.61,0.04,5.4,216.95
771,2020,10.4,4.15,9.0,237.49
772,2020,14.73,1.12,0.23,2375.36
773,2020,12.05,2.23,1.69,106.5
775,2021,10.29,0.52,1.42,365.23
777,2020,8.86,0.0,10.0,234.97
778,2022,12.63,7.05,2.37,368.15
779,2022,13.29,2.9,39.0,107.05
781,2022,12.08,3.31,86.0,149.93
782,2020,9.19,2.04,3.81,606.36
783,2022,5.09,1.28,2.7,410.27
786,2021,16.56,2.15,2.5,300.11
788,2019,11.12,0.0,9.33,121.47
789,2021,5.56,1.35,4.1,392.9
790,2022,8.56,2.61,2.69,191.98
792,2022,14.09,0.19,3.38,168.04
793,2020,8.09,3.09,2.93,224.46
794,2019,8.86,1.59,14.67,59.48
796,2020,8.14,1.65,1.52,139.18
797,2022,10.01,0.87,3.21,161.28
801,2019,18.5,0.49,1.43,615.2
803,2022,16.12,3.1,3.0,444.45
805,2020,14.24,4.83,1.16,286.5
806,2019,18.06,2.16,13.0,222.49
809,2020,17.31,0.39,0.39,420.12
810,2021,7.04,5.74,0.96,635.72
811,2019,15.59,2.88,1.82,509.15
815,2022,6.9,8.22,7.36,210.86
816,2022,8.9,4.47,0.5,186.91
817,2022,6.55,0.0,2.86,377.85
819,2021,6.05,1.35,3.92,448.73
823,2020,13.48,6.17,3.26,675.45
824,2022,15.58,0.0,2.84,399.87
825,2019,5.71,0.0,47.5,202.19
827,2019,5.91,0.48,3.44,104.65
832,2022,19.09,0.97,2.86,577.5
835,2019,16.71,3.53,2.11,408.72
836,2020,15.7,2.97,7.83,65.12
837,2020,14.11,2.71,3.96,275.33
839,2020,11.33,6.87,16.33,46.59
845,2020,15.17,4.39,0.37,575.31
846,2022,8.19,6.46,4.0,337.46
850,2019,18.34,3.54,4.11,115.77
851,2021,15.12,0.1,1.53,170.7
852,2021,17.42,6.01,10.88,307.22
855,2019,6.51,2.52,0.35,108.06
861,2020,10.77,8.01,2.48,441.35
862,2019,17.04,2.8,0.26,1451.8
863,2022,16.08,2.23,35.0,11.34
864,2022,16.02,1.38,9.67,108.37
865,2020,19.78,7.71,1.95,211.61
866,2020,9.43,0.62,31.0,37.68
868,2019,17.83,0.42,15.67,388.58
870,2019,16.84,8.15,0.14,893.0
871,2021,11.22,4.6,15.0,370.39
872,2019,13.86,0.32,1.41,800.0
873,2021,5.83,2.51,0.62,243.24
876,2022,18.03,6.94,31.67,37.08
877,2021,15.41,4.85,2.35,538.49
879,2019,5.47,0.41,2.43,379.29
881,2020,10.94,4.89,3.0,202.03
883,2022,13.43,0.11,5.67,110.06
886,2020,12.26,3.54,1.7,279.85
887,2021,15.46,3.69,21.5,102.39
888,2020,17.8,0.0,7.5,167.05
889,2020,7.93,0.21,6.0,180.83
891,2022,11.55,0.39,1.25,52.84
895,2022,14.8,0.31,10.88,139.38
897,2020,19.27,2.65,1.12,288.0
898,2022,18.42,0.43,2.04,507.56
900,2019,14.67,0.57,0.05,304.62
901,2020,5.87,6.47,1.14,794.85
902,2020,15.44,1.91,2.5,233.25
903,2022,15.61,0.0,11.17,61.99
904,2022,10.39,3.12,19.4,100.13
905,2020,8.3,1.95,2.88,116.18
907,2021,11.4,1.06,3.43,224.41
911,2022,17.26,0.0,2.86,329.35
913,2019,14.05,4.11,5.2,201.54
914,2022,8.15,1.83,3.62,152.28
915,2021,11.25,0.0,3.95,309.67
917,2022,13.5,4.14,2.44,682.09
918,2019,18.53,1.29,3.62,371.84
919,2019,18.53,1.29,1.23,577.04
924,2021,7.06,0.0,0.24,251.52
925,2019,5.6,4.43,21.5,156.15
928,2021,14.31,0.33,3.64,365.68
929,2019,11.03,1.5,8.67,82.71
930,2020,5.38,1.23,4.74,275.95
931,2022,12.15,0.62,2.33,121.88
934,2020,9.19,7.0,3.86,373.77
935,2021,8.26,0.54,1.57,56.35
936,2019,8.84,5.18,2.71,254.09
940,2020,10.05,0.0,30.5,85.2
941,2021,10.61,7.65,0.74,399.0
942,2020,10.56,0.12,0.12,312.57
944,2022,8.49,7.93,3.39,718.81
945,2022,17.27,1.66,1.36,381.57
946,2022,15.62,0.89,2.18,437.11
947,2022,5.08,4.46,5.79,152.83
953,2020,8.8,2.89,3.43,239.6
955,2022,17.54,3.86,3.24,490.64
956,2021,18.45,6.37,2.29,123.35
958,2019,16.81,1.63,5.5,352.54
960,2020,7.68,1.67,5.86,169.13
961,2020,11.33,0.01,19.8,328.21
962,2022,11.34,0.34,1.08,252.47
963,2021,16.4,0.59,0.78,280.44
969,2022,7.22,0.85,5.83,193.82
972,2020,9.78,0.59,4.04,191.86
975,2021,6.34,2.95,0.73,566.11
976,2020,17.89,3.62,6.15,374.41
977,2019,9.67,0.87,2.94,224.44
979,2022,8.51,1.13,2.0,513.0
980,2022,6.34,2.86,1.12,725.64
981,2020,6.39,4.81,2.56,108.66
982,2021,15.39,3.71,0.16,2601.55
984,2019,19.02,2.99,8.56,147.57
986,2022,11.9,1.77,0.11,117.04
987,2022,11.51,0.07,0.25,3699.08
994,2020,12.94,0.0,2.88,167.16
996,2019,9.13,2.92,0.31,4543.55
1004,2019,9.64,0.27,1.8,369.66
1005,2021,16.17,0.08,0.46,359.56
1007,2020,5.69,3.57,3.71,198.0
1008,2022,17.16,0.04,17.5,57.27
1009,2020,11.51,7.97,1.26,593.35
1013,2022,8.02,4.63,1.48,372.36
1016,2019,13.84,3.28,7.23,169.87
1017,2021,10.85,0.37,4.29,453.96
1018,2021,17.02,3.2,4.59,516.31
1025,2019,8.28,2.29,3.43,329.79
1026,2021,18.4,6.89,3.11,543.55
1027,2022,6.83,4.77,0.23,229.82
1028,2020,14.44,5.11,1.17,423.71
1030,2020,14.09,0.61,2.96,235.68
1032,2022,6.53,0.76,3.69,91.77
1037,2020,12.5,0.0,14.25,179.87
1038,2019,12.79,2.71,0.56,382.84
1039,2020,14.53,0.79,23.0,105.8
1041,2020,14.82,5.84,4.14,341.36
1045,2019,8.9,1.05,5.88,399.81
1046,2020,18.79,5.07,0.15,1695.25
1047,2019,16.39,4.72,9.43,54.38
1048,2022,13.29,0.88,4.43,342.94
1051,2020,18.48,5.14,0.76,346.8
1052,2020,18.39,0.39,2.23,281.24
1053,2019,6.66,1.75,1.56,80.61
1058,2020,14.21,0.0,3.46,194.31
1060,2019,6.11,1.95,2.48,598.08
1061,2021,9.78,4.22,4.42,112.56
1065,2022,9.25,0.18,3.62,94.31
1066,2022,11.67,2.82,3.4,262.22
1067,2021,10.52,0.05,4.83,51.27
1068,2019,16.03,1.45,1.28,158.95
1069,2019,14.05,2.01,5.67,186.12
1071,2021,8.16,1.7,2.62,373.24
1072,2020,9.88,1.73,11.67,142.24
1073,2022,5.32,0.97,12.0,79.99
1074,2022,6.63,1.66,11.6,216.18
1075,2022,8.98,2.91,1.55,430.93
1076,2020,5.98,2.09,0.87,653.84
1078,2020,19.97,4.47,0.42,199.47
1079,2019,6.51,6.77,1.33,159.8
1081,2020,6.78,0.04,19.2,154.73
1083,2020,14.65,0.0,3.25,236.74
1085,2021,6.71,2.26,0.97,839.55
1098,2022,5.8,2.3,3.52,270.59
1099,2020,6.89,4.15,2.0,285.43
1101,2021,14.11,1.15,0.82,57.26
1103,2020,15.91,1.09,0.28,3113.82
1105,2020,18.81,1.86,3.7,550.41
1109,2021,8.87,1.29,0.72,643.3
1110,2019,9.65,1.86,13.33,24.16
1116,2021,6.89,0.0,6.0,54.29
1118,2019,15.96,2.55,4.18,139.09
1124,2020,7.2,7.0,1.38,502.26
1129,2019,7.91,0.04,0.5,505.7
1130,2022,12.65,0.0,1.5,85.09
1133,2019,13.14,1.39,7.45,90.39
1134,2020,19.73,1.3,1.14,282.52
1138,2019,7.11,6.73,3.04,280.82
1139,2020,6.27,6.67,2.71,246.62
1141,2019,11.63,0.48,0.83,149.05
1144,2020,18.55,2.6,1.2,221.04
1147,2020,17.79,6.06,0.88,506.57
1149,2021,11.8,3.4,32.0,38.9
1152,2019,18.24,4.79,1.07,554.65
1154,2021,18.13,5.08,2.23,422.7
1158,2022,7.5,7.87,1.0,231.27
1160,2021,6.55,0.76,0.1,411.48
1161,2019,17.23,1.6,85.0,16.95
1162,2019,9.45,2.9,0.25,366.57
1163,2019,19.64,0.34,0.5,307.52
1166,2019,12.14,0.0,6.33,409.85
1168,2020,12.39,0.32,4.77,192.71
1169,2019,13.04,2.15,1.47,390.67
1171,2019,15.29,0.94,2.96,525.34
1174,2019,17.23,0.0,0.79,418.63
1175,2022,8.46,1.72,13.0,160.32
1179,2020,11.7,0.37,4.74,302.71
1184,2022,11.36,0.74,4.73,276.02
1185,2022,14.83,1.26,55.0,85.72
1186,2022,9.1,1.82,1.14,545.89
1189,2019,17.83,3.16,2.15,385.67
1190,2022,12.48,0.6,4.53,359.91
1191,2019,19.47,5.8,2.14,359.82
1192,2021,12.55,2.7,2.46,436.1
1194,2019,7.9,8.19,5.75,314.89
1195,2022,15.42,1.42,2.54,327.29
1197,2022,14.06,0.04,0.48,2170.34
1198,2019,16.33,1.18,0.29,2580.82
1199,2019,15.89,1.22,2.14,278.86
1200,2022,5.65,1.94,1.56,487.24
1201,2020,17.04,8.3,6.75,220.39
1202,2019,12.99,0.52,7.0,93.03
1204,2020,13.06,0.0,2.9,397.65
1205,2022,14.19,0.74,15.0,217.17
1207,2019,11.26,2.87,0.21,493.49
1209,2022,10.26,0.0,17.0,145.59
1210,2022,6.37,2.89,2.0,113.5
1212,2021,7.43,0.08,72.0,148.53
1213,2019,10.6,0.75,2.43,164.89
1214,2020,18.42,1.05,4.08,214.22
1215,2020,8.09,2.31,1.73,207.53
1217,2020,9.67,5.91,18.33,39.27
1218,2019,16.81,1.43,11.0,73.58
1219,2020,5.75,2.33,85.0,225.88
1222,2019,19.89,5.92,0.25,372.04
1225,2019,9.08,8.31,0.77,260.25
1226,2022,7.52,0.29,2.87,606.12
1227,2020,6.87,2.85,3.48,515.27
1237,2020,14.26,4.17,0.09,263.98
1240,2021,18.46,1.11,0.24,243.94
1241,2021,6.19,1.61,2.0,586.13
1243,2021,14.16,0.0,4.13,118.06
1244,2019,13.39,2.0,18.0,198.76
1247,2020,19.6,1.82,6.08,262.17
1248,2020,7.72,0.0,5.1,288.97
1249,2021,18.43,0.13,2.79,448.75
1252,2020,7.64,0.86,3.23,250.18
1255,2020,18.25,8.33,3.11,234.4
1256,2020,15.11,2.78,0.32,4093.66
1259,2022,17.25,0.0,3.8,238.93
1261,2019,10.41,3.31,1.84,162.22
1263,2021,17.4,3.94,8.27,100.83
1266,2020,18.67,1.21,3.0,441.94
1267,2021,10.81,0.0,4.8,158.2
1270,2022,18.46,0.83,0.4,105.93
1271,2019,8.26,1.57,3.6,300.15
1273,2019,18.21,0.42,3.07,425.3
1276,2020,11.16,0.51,1.9,541.89
1277,2020,14.87,0.45,13.0,225.84
1278,2019,10.59,0.0,0.82,630.64
1279,2020,15.43,2.1,2.67,381.16
1281,2021,5.33,7.83,0.58,440.03
1286,2019,10.88,1.78,1.22,658.55
1288,2020,8.09,0.0,29.0,198.82
1289,2021,17.99,6.31,5.35,370.96
1293,2022,10.12,0.23,1.52,244.83
1294,2022,10.21,3.63,13.0,135.83
1295,2022,16.0,0.0,4.25,405.17
1298,2022,17.11,0.54,7.08,361.99
1299,2019,17.08,0.73,15.8,239.3
1304,2022,11.26,5.86,0.69,256.25
1305,2021,19.92,2.14,20.5,241.0
1315,2021,15.65,2.09,2.5,380.73
1316,2020,7.22,5.68,1.88,282.32
1317,2021,16.34,2.15,9.38,71.42
1319,2020,9.03,1.92,0.03,491.95
1324,2020,13.12,3.92,6.38,246.66
1328,2020,9.15,0.48,10.14,79.13
1329,2019,12.07,5.67,5.0,140.97
1330,2022,15.14,1.16,29.5,255.49
1333,2020,10.95,0.09,0.43,1289.58
