PU_ID,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
151,Player C,Team B,29,180.59,111.55,Midfielder,16.0,4.0,9,1,87.99,13.94,85,7,7,3,0.24,74,1,7.6,0.89,0.24,304.77,2020
154,Player A,Team A,19,186.59,97.19,Defender,7.0,16.0,2,3,56.45,5.85,24,9,13,2,0.99,49,8,7.64,3.64,8.5,244.83,2019
157,Player B,Team A,33,197.45,69.12,Defender,10.0,19.0,5,2,82.03,11.31,47,0,5,9,0.76,23,4,6.46,0.73,17.5,154.64,2021
158,Player A,Team C,33,160.74,78.63,Defender,17.0,17.0,3,1,77.87,8.74,47,2,13,2,0.24,98,6,6.81,1.74,3.39,599.94,2022
159,Player D,Team A,20,249.14,82.71,Goalkeeper,26.0,14.0,4,0,77.97,8.38,60,13,14,2,0.73,72,4,13.76,0.0,2.07,792.03,2022
160,Player C,Team B,39,160.87,94.71,Defender,20.0,4.0,6,3,87.11,10.86,52,13,1,7,0.37,13,2,19.69,7.53,3.71,356.48,2020
161,Player A,Team A,21,179.34,101.72,Midfielder,22.0,16.0,9,2,95.12,10.68,8,13,17,0,0.63,23,9,13.58,0.51,2.04,626.92,2020
162,Player D,Team B,28,180.04,79.91,Defender,6.0,13.0,2,3,69.38,9.05,10,3,29,9,0.63,57,7,19.24,1.51,11.71,239.63,2019
163,Player D,Team B,31,172.87,75.64,Forward,28.0,0.0,8,0,76.85,7.78,26,6,9,4,0.54,62,7,11.66,0.0,1.48,299.48,2020
168,Player C,Team B,27,181.23,93.04,Forward,18.0,0.0,8,3,93.87,12.02,10,9,24,9,0.04,23,9,17.96,1.42,1.11,346.55,2020
169,Player B,Team A,26,183.59,107.57,Goalkeeper,8.0,2.0,1,4,86.88,5.84,56,0,4,5,0.59,35,5,5.44,0.51,10.11,125.41,2022
170,Player D,Team B,28,223.76,88.24,Forward,11.0,19.0,0,3,55.01,6.63,66,6,7,4,0.68,67,0,11.6,0.27,2.83,578.51,2019
172,Player C,Team A,27,183.78,87.97,Midfielder,290.0,15.0,6,1,60.6,12.91,23,8,12,5,0.51,33,7,14.11,0.94,0.09,2348.03,2022
173,Player D,Team A,34,169.97,75.98,Defender,6.0,10.0,9,2,65.87,12.73,83,11,6,2,0.23,46,7,9.14,4.81,11.0,278.95,2019
176,Player C,Team A,19,182.51,73.49,Defender,10.0,4.0,3,3,117.17,14.74,78,6,8,8,0.69,19,1,15.3,0.88,0.91,226.54,2022
178,Player A,Team C,36,167.82,97.15,Midfielder,28.0,12.0,7,2,93.74,14.81,83,14,23,7,0.94,87,0,16.07,3.37,1.1,277.36,2020
179,Player C,Team A,25,215.85,65.2,Midfielder,11.0,18.0,0,4,60.57,13.46,85,7,25,8,0.14,15,9,10.12,1.04,2.83,168.03,2021
180,Player A,Team C,20,213.01,118.9,Goalkeeper,2.0,6.0,0,3,65.53,7.17,1,2,16,7,0.34,78,5,19.99,0.91,20.67,112.3,2022
183,Player C,Team C,18,170.5,80.93,Midfielder,14.0,9.0,9,1,66.6,8.09,47,8,27,7,0.88,18,8,7.93,0.53,5.87,255.24,2020
184,Player A,Team C,38,161.57,87.49,Forward,18.0,9.0,5,2,94.17,8.38,97,3,20,4,0.26,70,1,9.71,1.82,4.47,245.65,2022
185,Player A,Team A,20,172.22,59.6,Goalkeeper,9.0,10.0,1,0,56.93,5.73,53,5,4,9,0.66,59,4,11.79,0.42,1.2,373.02,2020
186,Player B,Team C,39,189.78,87.69,Forward,8.0,9.0,4,4,72.19,12.15,45,7,22,3,0.82,32,8,17.76,2.52,1.56,240.34,2021
193,Player C,Team C,27,175.52,110.73,Defender,16.0,10.0,9,4,76.96,6.63,51,4,19,0,0.63,80,5,15.26,0.09,5.82,452.9,2019
196,Player B,Team A,21,183.2,52.57,Midfielder,24.0,15.0,3,0,89.01,13.45,20,12,0,2,0.73,56,1,14.72,0.57,2.48,198.2,2022
200,Player C,Team B,37,173.16,111.08,Goalkeeper,10.0,9.0,9,0,91.63,12.5,44,9,23,5,0.64,78,5,19.99,0.95,8.55,244.5,2021
202,Player C,Team C,29,160.96,51.56,Goalkeeper,0.0,14.0,4,2,50.37,7.2,53,6,14,0,0.16,28,4,16.28,1.64,66.0,154.15,2021
203,Player A,Team A,24,172.52,200.34,Goalkeeper,0.0,15.0,6,1,75.96,12.95,18,3,4,6,0.9,64,3,14.93,1.22,31.0,258.22,2019
205,Player A,Team C,19,182.16,105.26,Defender,20.0,16.0,8,0,52.88,13.82,39,0,25,6,0.01,82,8,15.96,2.98,3.71,626.52,2020
207,Player D,Team A,39,171.42,74.18,Midfielder,6.0,12.0,7,2,65.57,13.97,24,12,9,3,0.66,56,3,14.47,4.58,4.71,344.77,2020
209,Player A,Team C,26,175.32,116.8,Goalkeeper,9.0,14.0,3,2,67.46,7.54,35,3,26,5,0.16,41,2,11.73,0.99,1.5,238.87,2021
210,Player C,Team A,38,193.42,76.0,Defender,15.0,15.0,1,3,58.98,13.04,70,10,17,5,0.55,4,2,6.82,0.0,3.0,174.98,2020
212,Player A,Team A,22,177.55,109.49,Defender,21.0,7.0,6,0,55.77,7.39,23,5,8,5,0.65,30,4,8.98,0.39,2.0,460.48,2019
213,Player C,Team B,20,175.73,106.5,Defender,8.0,6.0,8,2,54.22,12.96,60,12,1,4,0.22,88,9,10.77,1.73,1.33,116.85,2019
214,Player C,Team A,34,193.86,74.21,Goalkeeper,5.0,16.0,1,3,95.5,13.22,91,13,21,9,0.71,84,0,5.26,0.56,9.0,219.64,2022
216,Player D,Team C,18,182.08,71.18,Goalkeeper,3.0,1.0,3,4,91.4,9.67,51,4,11,5,0.33,56,6,17.13,6.11,17.0,70.11,2019
217,Player A,Team C,24,169.24,59.22,Midfielder,14.0,16.0,6,2,61.52,12.81,35,12,4,7,0.75,31,5,13.14,0.87,2.2,566.74,2020
219,Player C,Team B,22,181.28,86.5,Defender,24.0,13.0,6,1,79.49,13.67,50,1,12,9,0.85,7,2,12.05,4.59,2.48,504.67,2020
220,Player C,Team A,36,192.36,95.08,Midfielder,1500.0,7.0,5,4,52.56,11.46,32,14,28,9,0.66,90,2,9.37,0.68,0.52,1559.61,2022
221,Player C,Team A,28,240.15,119.62,Forward,12.0,4.0,1,1,94.98,6.86,52,9,28,7,0.57,77,9,12.16,3.09,5.46,234.32,2020
222,Player B,Team B,19,168.6,50.84,Goalkeeper,18.0,4.0,6,1,99.9,10.5,87,10,1,7,0.09,54,8,11.07,1.61,3.16,261.53,2019
224,Player B,Team A,26,182.46,90.16,Goalkeeper,25.0,4.0,8,1,61.58,5.27,37,11,13,0,0.27,55,6,5.62,0.72,0.81,521.76,2021
228,Player A,Team B,22,178.04,88.55,Goalkeeper,21.0,7.0,7,2,85.86,9.53,8,7,0,3,0.89,93,5,7.66,1.59,3.5,539.83,2020
229,Player A,Team C,38,177.27,68.82,Defender,28.0,12.0,8,1,65.05,10.08,31,0,24,1,0.63,20,7,12.97,0.0,3.38,418.58,2022
230,Player B,Team A,22,182.2,53.92,Defender,15.0,19.0,6,4,57.36,8.4,40,9,8,2,0.79,78,0,5.65,0.56,0.31,321.32,2022
234,Player D,Team B,37,169.06,71.51,Defender,220.0,15.0,6,0,74.21,10.62,90,8,13,6,0.2,27,2,6.71,0.03,1.43,399.86,2020
235,Player D,Team A,23,216.77,87.35,Forward,29.0,7.0,4,1,60.63,12.1,27,11,24,3,0.72,25,5,12.7,3.98,2.13,204.72,2022
236,Player B,Team A,37,179.95,59.4,Midfielder,24.0,16.0,6,1,73.16,13.75,42,8,1,7,0.28,52,9,12.82,2.16,1.68,720.1,2022
237,Player B,Team C,35,192.77,115.28,Forward,29.0,7.0,9,1,80.1,8.02,11,9,0,8,0.02,68,8,19.57,3.55,2.8,395.61,2019
238,Player C,Team B,19,170.87,112.62,Midfielder,100.0,14.0,1,2,90.07,12.47,68,3,27,1,0.65,21,9,14.82,4.68,1.82,395.93,2019
239,Player D,Team A,23,166.79,63.3,Defender,2.0,9.0,8,2,72.63,11.06,71,13,9,1,0.18,18,3,9.32,1.71,16.67,160.47,2022
240,Player B,Team A,26,246.08,102.63,Goalkeeper,23.0,0.0,1,4,112.3,10.03,16,13,22,1,0.94,39,8,8.61,0.0,2.29,217.25,2020
241,Player C,Team B,20,190.8,123.89,Defender,23.0,8.0,1,2,105.18,14.2,7,1,21,7,0.95,15,4,6.92,0.49,1.96,273.67,2020
242,Player D,Team C,18,178.49,109.86,Defender,16.0,16.0,4,3,94.99,11.2,97,0,18,1,0.91,53,6,16.35,0.95,3.06,198.36,2019
244,Player C,Team B,36,189.44,67.58,Defender,12.0,0.0,5,1,86.4,12.13,17,7,23,4,0.02,48,2,14.15,2.28,2.92,184.51,2021
245,Player B,Team A,22,182.19,114.09,Goalkeeper,9.0,8.0,8,0,63.45,14.6,9,10,19,9,0.93,52,2,5.61,1.79,0.3,247.64,2021
247,Player A,Team C,36,192.84,90.59,Goalkeeper,11.0,4.0,4,3,53.92,14.8,40,12,19,1,0.97,72,5,14.63,4.57,8.25,225.46,2021
249,Player C,Team A,33,167.45,115.15,Goalkeeper,23.0,4.0,7,4,70.44,9.43,68,14,10,1,0.85,85,8,13.81,6.75,2.33,237.51,2021
252,Player D,Team C,29,189.93,83.27,Defender,1.0,15.0,6,4,78.68,6.78,46,2,27,7,0.85,35,5,7.64,1.35,34.5,112.64,2021
257,Player B,Team B,30,187.45,54.34,Goalkeeper,250.0,13.0,1,1,71.55,8.89,2,10,24,6,0.7,93,1,6.16,0.0,0.31,580.84,2020
259,Player C,Team A,39,172.47,99.53,Defender,11.0,2.0,0,4,69.11,10.27,42,1,14,7,0.1,12,9,8.5,0.25,0.92,236.14,2022
263,Player A,Team A,22,194.08,106.41,Defender,10.0,1.0,3,4,115.03,6.3,5,10,0,2,0.52,49,5,15.71,4.55,40.0,26.78,2022
266,Player D,Team B,18,187.52,80.36,Midfielder,5.0,3.0,8,1,94.26,7.75,97,0,1,1,0.7,1,1,15.3,3.03,11.83,94.39,2022
271,Player D,Team A,35,173.81,83.95,Goalkeeper,8.0,5.0,6,1,52.44,6.29,37,7,15,7,0.81,25,6,12.73,1.47,8.67,145.79,2021
273,Player D,Team B,29,176.11,97.81,Forward,26.0,13.0,0,3,77.82,14.26,33,3,13,3,0.91,73,5,5.67,2.36,0.11,497.74,2020
275,Player D,Team A,30,168.87,102.4,Midfielder,3.0,5.0,4,4,70.56,10.08,46,11,22,9,0.5,77,8,15.98,0.31,22.25,122.61,2021
276,Player A,Team B,27,170.78,76.31,Goalkeeper,28.0,12.0,8,1,98.77,6.99,35,10,6,6,0.8,70,0,11.91,2.87,1.48,622.63,2019
277,Player B,Team B,24,169.71,86.17,Forward,19.0,14.0,7,0,58.64,12.82,15,12,18,3,0.65,94,8,15.15,4.93,0.8,653.63,2021
282,Player B,Team C,26,165.88,111.89,Goalkeeper,20.0,8.0,1,1,59.95,10.28,51,1,2,0,0.38,50,6,7.99,4.88,3.33,216.58,2022
284,Player B,Team C,35,197.9,78.36,Goalkeeper,25.0,5.0,1,4,62.44,6.52,75,0,18,6,0.58,75,4,11.6,0.0,2.69,502.35,2019
288,Player A,Team B,32,225.72,118.71,Defender,29.0,14.0,5,3,72.28,7.14,37,14,28,4,0.29,39,6,7.44,4.45,1.43,335.92,2019
289,Player D,Team A,21,199.44,63.95,Defender,18.0,14.0,6,2,111.08,14.5,28,6,22,1,0.59,74,9,8.77,0.2,4.05,337.73,2020
292,Player A,Team B,39,173.55,110.79,Defender,17.0,0.0,8,2,64.59,5.59,58,13,24,0,0.82,39,8,12.06,1.36,1.39,303.03,2020
295,Player D,Team A,27,191.75,88.15,Forward,1.0,10.0,5,2,53.29,6.03,25,6,4,1,0.52,51,2,18.35,6.06,23.0,92.15,2020
298,Player A,Team A,35,186.81,51.18,Goalkeeper,26.0,11.0,1,0,77.81,12.89,18,13,20,1,0.62,64,9,17.96,3.04,1.07,379.82,2022
299,Player D,Team B,24,175.96,167.16,Forward,22.0,3.0,4,2,63.97,7.74,95,13,1,6,0.09,95,2,12.62,0.18,4.26,356.63,2020
300,Player A,Team C,21,184.62,110.12,Defender,9.0,11.0,7,2,63.19,8.83,26,5,21,2,0.05,89,7,19.02,2.63,6.6,362.81,2020
302,Player C,Team A,33,175.71,116.94,Defender,20.0,17.0,4,3,98.98,7.52,51,6,10,5,0.54,18,1,19.88,1.92,33.0,347.2,2020
303,Player B,Team B,20,182.55,111.57,Midfielder,7.0,11.0,2,4,69.96,6.89,97,11,14,4,0.64,21,1,14.35,1.98,0.88,132.69,2021
309,Player B,Team A,18,180.09,130.62,Goalkeeper,18.0,9.0,5,2,89.94,11.68,66,6,5,7,0.27,53,1,5.84,0.0,1.21,140.91,2022
310,Player D,Team B,38,160.8,114.83,Forward,24.0,9.0,7,0,104.2,12.46,25,12,8,6,0.44,85,0,13.87,1.53,3.76,423.3,2019
311,Player C,Team C,34,246.32,163.78,Forward,6.0,5.0,4,1,93.3,5.51,5,13,16,0,0.08,27,6,10.59,1.71,4.57,155.39,2020
312,Player D,Team A,28,177.94,75.43,Defender,24.0,7.0,1,3,97.24,5.89,12,1,18,9,0.03,19,5,10.8,0.51,0.12,221.49,2021
313,Player C,Team A,34,160.6,94.07,Forward,1.0,17.0,4,0,56.29,10.63,26,13,11,1,0.96,23,1,18.27,0.14,27.5,139.96,2020
314,Player C,Team A,31,170.58,97.17,Defender,5.0,16.0,8,0,52.05,8.74,87,14,5,3,0.84,50,1,17.81,5.24,12.0,141.25,2020
315,Player D,Team C,37,180.56,64.75,Midfielder,4.0,9.0,5,3,55.29,11.99,9,12,15,8,0.7,51,1,13.98,0.0,1.6,129.43,2022
317,Player A,Team C,38,197.03,140.59,Midfielder,17.0,11.0,9,1,77.81,5.31,22,13,1,1,0.17,99,6,12.13,4.65,0.17,209.56,2019
318,Player C,Team A,24,185.81,63.07,Forward,3.0,19.0,5,1,83.56,11.84,46,6,25,7,0.16,51,0,11.12,0.91,7.25,160.61,2022
320,Player D,Team C,35,197.21,85.96,Goalkeeper,230.0,8.0,6,2,69.58,8.13,27,2,10,7,0.55,41,3,6.54,2.88,0.2,4062.43,2019
321,Player A,Team A,31,179.64,117.58,Goalkeeper,12.0,15.0,9,0,77.28,12.36,76,1,14,4,0.71,72,6,13.15,1.36,5.08,325.45,2022
323,Player B,Team C,24,165.23,115.82,Midfielder,28.0,8.0,9,0,89.99,8.46,57,11,5,2,0.28,80,3,14.91,2.66,0.41,430.5,2020
324,Player B,Team C,25,187.03,59.84,Forward,20.0,5.0,9,4,96.14,5.89,1,12,27,6,0.95,88,0,9.79,0.1,4.71,229.46,2021
327,Player C,Team C,18,208.63,88.51,Midfielder,19.0,17.0,4,1,77.44,14.64,86,9,8,3,0.61,23,1,19.89,0.75,0.85,584.32,2021
328,Player D,Team A,39,180.82,107.96,Defender,40.0,10.0,7,3,61.8,8.18,63,11,24,5,0.42,49,1,12.61,3.67,19.6,116.71,2021
