PU_ID,Season,PlayerFatigue,MatchPressure,InjuryHistory
224,2021,0.27,55,6
228,2020,0.89,93,5
229,2022,0.63,20,7
230,2022,0.79,78,0
234,2020,0.2,27,2
235,2022,0.72,25,5
236,2022,0.28,52,9
237,2019,0.02,68,8
238,2019,0.65,21,9
239,2022,0.18,18,3
240,2020,0.94,39,8
241,2020,0.95,15,4
242,2019,0.91,53,6
244,2021,0.02,48,2
245,2021,0.93,52,2
247,2021,0.97,72,5
249,2021,0.85,85,8
252,2021,0.85,35,5
257,2020,0.7,93,1
259,2022,0.1,12,9
263,2022,0.52,49,5
266,2022,0.7,1,1
271,2021,0.81,25,6
273,2020,0.91,73,5
275,2021,0.5,77,8
276,2019,0.8,70,0
277,2021,0.65,94,8
282,2022,0.38,50,6
284,2019,0.58,75,4
288,2019,0.29,39,6
289,2020,0.59,74,9
292,2020,0.82,39,8
295,2020,0.52,51,2
298,2022,0.62,64,9
299,2020,0.09,95,2
300,2020,0.05,89,7
302,2020,0.54,18,1
303,2021,0.64,21,1
309,2022,0.27,53,1
310,2019,0.44,85,0
311,2020,0.08,27,6
312,2021,0.03,19,5
313,2020,0.96,23,1
314,2020,0.84,50,1
315,2022,0.7,51,1
317,2019,0.17,99,6
318,2022,0.16,51,0
320,2019,0.55,41,3
321,2022,0.71,72,6
323,2020,0.28,80,3
324,2021,0.95,88,0
327,2021,0.61,23,1
328,2021,0.42,49,1
329,2020,0.25,38,9
330,2020,0.36,47,2
339,2022,0.1,38,8
344,2021,0.4,23,4
345,2019,0.62,3,0
346,2022,0.64,93,5
352,2020,0.66,50,1
354,2022,0.07,20,1
358,2020,0.94,72,1
359,2019,0.58,27,2
360,2020,0.39,47,6
362,2019,0.46,6,5
363,2021,0.55,60,2
364,2022,0.94,45,0
365,2022,0.39,44,5
369,2019,0.07,25,9
371,2019,0.02,7,5
372,2020,0.09,44,5
375,2022,0.32,44,5
377,2022,0.02,19,3
380,2022,0.12,31,0
382,2019,0.63,84,3
383,2021,0.88,74,9
385,2020,0.8,27,1
386,2019,0.28,13,1
387,2022,0.18,41,6
389,2020,0.81,85,5
390,2020,0.99,97,6
393,2021,0.78,98,9
396,2020,0.86,2,5
398,2019,0.75,30,2
401,2020,0.9,81,6
403,2020,0.83,71,4
405,2020,0.9,97,2
406,2022,0.39,45,8
408,2021,0.91,11,7
412,2019,0.95,63,5
413,2019,0.57,90,6
415,2019,0.45,62,1
416,2021,0.29,94,1
417,2022,0.33,92,9
420,2021,0.79,83,1
422,2019,0.09,58,1
426,2020,0.44,26,9
430,2020,0.14,1,9
433,2022,0.1,79,3
440,2020,0.08,33,1
441,2019,0.99,89,5
443,2021,0.37,69,5
444,2020,0.81,6,2
445,2020,0.95,23,0
446,2020,0.99,30,3
448,2022,0.38,54,7
454,2020,0.11,77,6
455,2021,0.49,12,1
456,2022,0.01,66,8
457,2020,0.47,53,5
458,2019,0.06,99,1
460,2020,0.12,17,0
462,2019,0.75,92,3
463,2020,0.58,22,3
464,2022,0.96,7,8
468,2020,0.22,24,7
469,2021,0.96,67,1
470,2021,0.01,30,5
471,2021,0.97,70,3
473,2022,0.89,61,5
478,2022,0.97,44,2
484,2019,0.58,9,4
486,2020,0.05,48,1
487,2021,0.28,49,7
488,2021,0.95,53,4
491,2021,0.62,24,3
492,2019,0.28,98,3
497,2021,0.08,54,8
498,2019,0.97,53,8
500,2019,0.7,78,6
501,2019,0.54,78,4
502,2021,0.31,80,8
506,2020,0.91,90,4
509,2020,0.73,79,6
512,2019,0.93,94,0
513,2022,0.87,60,0
516,2022,0.38,30,0
517,2020,0.81,2,9
518,2020,0.99,83,7
523,2021,0.84,76,6
525,2019,0.47,87,2
527,2019,0.27,30,0
528,2019,0.06,38,9
529,2019,0.86,58,5
530,2022,0.81,94,6
531,2022,1.0,41,8
532,2019,1.0,94,5
533,2019,0.56,57,4
535,2020,0.94,64,1
537,2019,0.25,16,0
540,2020,0.95,90,6
541,2019,0.61,72,6
546,2022,0.11,65,6
549,2019,0.77,78,2
550,2019,0.52,40,3
551,2022,0.85,25,8
554,2022,0.88,69,6
555,2020,0.4,26,6
556,2022,0.13,40,3
558,2022,0.76,38,2
561,2021,0.21,94,6
562,2019,0.14,30,9
564,2021,0.35,35,6
568,2019,0.9,38,5
569,2019,0.35,10,0
571,2020,0.78,28,3
574,2022,0.86,16,0
575,2022,0.95,21,6
576,2022,0.15,92,5
577,2019,0.93,97,4
580,2021,0.46,15,1
581,2021,0.98,3,8
582,2021,0.49,43,0
584,2022,0.63,99,2
586,2019,0.08,66,7
587,2020,0.13,29,6
588,2020,0.13,4,3
590,2021,0.14,12,9
591,2022,0.64,2,1
593,2022,0.35,35,4
594,2022,0.9,10,5
595,2020,0.47,86,2
597,2021,0.17,21,6
602,2022,0.18,85,1
603,2022,0.09,60,7
604,2022,0.12,44,9
605,2019,0.46,96,2
606,2020,0.21,5,3
607,2020,0.36,73,7
610,2022,0.04,72,1
613,2020,0.08,51,8
615,2022,0.92,24,5
617,2021,0.28,96,1
619,2020,0.75,38,8
623,2019,0.48,34,1
624,2019,0.62,75,4
625,2021,0.37,95,6
636,2020,0.53,77,4
637,2022,0.24,65,6
639,2019,0.38,24,6
642,2020,0.21,2,1
643,2020,0.33,28,7
646,2020,0.59,79,2
647,2019,0.68,36,6
648,2022,0.79,91,5
650,2020,0.09,35,4
653,2022,0.75,74,2
654,2019,0.43,94,9
655,2020,0.13,53,6
656,2020,0.28,38,1
657,2022,0.36,93,7
659,2020,0.57,43,2
665,2021,0.15,25,7
667,2022,0.16,11,6
670,2022,0.17,86,3
671,2022,0.9,14,9
672,2019,0.08,24,1
675,2022,0.98,26,1
676,2019,0.11,43,9
678,2022,0.97,39,6
680,2022,0.82,16,0
681,2022,0.26,59,6
684,2020,0.93,98,3
688,2019,0.77,27,0
689,2022,0.19,71,7
690,2021,0.32,27,9
692,2020,0.51,46,3
693,2020,0.24,41,1
697,2020,0.58,18,0
705,2021,0.99,74,8
709,2021,0.68,29,2
710,2019,0.76,41,8
711,2022,0.6,9,0
714,2022,0.35,37,6
717,2022,0.97,72,3
718,2022,0.12,39,3
720,2021,0.94,54,6
722,2020,0.07,55,5
723,2022,0.74,33,5
724,2021,0.57,96,0
726,2019,0.14,19,3
730,2019,0.16,47,7
731,2020,0.81,46,1
732,2022,0.67,56,4
733,2020,0.52,57,3
736,2020,0.39,54,9
737,2021,0.82,90,7
738,2021,0.44,81,9
739,2019,0.38,28,6
744,2020,0.23,97,1
745,2022,0.9,51,7
746,2020,0.38,7,5
748,2021,0.91,43,8
749,2020,0.62,69,9
751,2020,0.94,58,6
753,2022,0.33,42,4
756,2021,0.62,13,2
759,2019,0.79,42,5
760,2020,0.15,51,8
763,2021,0.74,3,8
765,2020,0.57,79,8
766,2022,0.76,98,3
770,2020,0.11,59,8
771,2020,0.85,62,9
772,2020,0.13,68,7
773,2020,0.4,54,6
775,2021,0.15,23,0
777,2020,0.72,73,9
778,2022,0.72,88,8
779,2022,0.64,85,8
781,2022,0.54,80,3
782,2020,0.25,63,1
783,2022,0.35,56,3
786,2021,0.58,26,8
788,2019,0.46,63,3
789,2021,0.95,45,4
790,2022,0.15,73,2
792,2022,0.51,39,4
793,2020,0.61,97,0
794,2019,0.02,65,8
796,2020,0.93,56,9
797,2022,0.57,9,3
801,2019,0.15,26,4
803,2022,0.61,40,2
805,2020,0.74,6,2
806,2019,0.93,27,2
809,2020,0.11,75,1
810,2021,0.98,85,8
811,2019,0.84,64,6
815,2022,0.52,3,2
816,2022,0.59,62,9
817,2022,0.4,12,1
819,2021,0.34,30,8
823,2020,0.4,60,2
824,2022,0.54,38,2
825,2019,0.92,15,3
827,2019,0.35,52,9
832,2022,0.14,18,1
835,2019,0.42,60,3
836,2020,0.91,38,9
837,2020,0.36,12,9
839,2020,0.63,84,2
845,2020,0.41,21,3
846,2022,0.09,23,7
850,2019,0.07,19,6
851,2021,0.75,62,3
852,2021,0.21,87,3
855,2019,0.19,39,6
861,2020,0.45,92,5
862,2019,0.52,95,8
863,2022,0.44,96,9
864,2022,0.4,50,4
865,2020,0.56,20,4
866,2020,0.16,40,5
868,2019,0.86,95,2
870,2019,0.37,31,7
871,2021,0.27,38,5
872,2019,0.64,86,4
873,2021,0.41,45,2
876,2022,0.72,9,5
877,2021,0.66,63,5
879,2019,0.22,77,2
881,2020,0.67,16,2
883,2022,0.1,66,7
886,2020,0.65,38,5
887,2021,0.24,98,6
888,2020,0.1,8,0
889,2020,0.24,21,9
891,2022,0.86,46,3
895,2022,0.2,48,8
897,2020,0.9,84,9
898,2022,0.01,31,1
900,2019,0.21,44,2
901,2020,0.03,71,2
902,2020,0.18,8,4
903,2022,0.58,73,6
904,2022,0.42,2,6
905,2020,0.89,17,9
907,2021,0.34,45,6
911,2022,0.27,81,1
913,2019,0.41,99,2
914,2022,0.55,94,2
915,2021,0.44,6,1
917,2022,0.95,51,5
918,2019,0.76,35,1
919,2019,0.14,58,2
924,2021,0.43,59,5
925,2019,0.02,86,5
928,2021,0.63,2,8
929,2019,0.26,58,5
930,2020,0.14,36,1
931,2022,0.83,72,0
934,2020,0.17,65,7
935,2021,0.27,77,4
936,2019,0.02,50,0
940,2020,0.27,43,9
941,2021,0.55,95,5
942,2020,0.65,78,9
944,2022,0.21,47,1
945,2022,0.01,14,8
946,2022,0.14,48,1
947,2022,0.9,55,1
953,2020,0.91,9,0
955,2022,0.38,92,4
956,2021,0.52,52,0
958,2019,0.17,88,9
960,2020,0.08,36,0
961,2020,0.6,64,6
962,2022,0.25,18,6
963,2021,0.39,89,2
969,2022,0.48,8,9
972,2020,0.73,84,0
975,2021,0.26,17,7
976,2020,0.6,86,4
977,2019,0.05,86,2
979,2022,0.6,12,6
980,2022,0.33,82,1
981,2020,0.77,56,4
982,2021,0.11,46,7
984,2019,0.73,79,0
986,2022,0.69,69,2
987,2022,0.43,2,6
994,2020,0.36,47,0
996,2019,0.92,65,6
1004,2019,0.81,86,8
1005,2021,0.66,82,1
1007,2020,0.85,41,9
1008,2022,0.25,76,5
1009,2020,0.49,19,5
1013,2022,0.04,69,4
1016,2019,0.18,74,7
1017,2021,0.57,7,9
1018,2021,0.92,52,1
1025,2019,0.47,90,2
1026,2021,0.86,10,6
1027,2022,0.84,17,6
1028,2020,0.32,78,0
1030,2020,0.04,77,3
1032,2022,0.23,73,7
1037,2020,0.72,86,1
1038,2019,0.07,23,6
1039,2020,0.32,71,6
1041,2020,0.79,27,9
1045,2019,0.62,84,7
1046,2020,0.23,71,8
1047,2019,0.02,43,6
1048,2022,0.87,7,3
1051,2020,0.53,63,3
1052,2020,0.94,84,6
1053,2019,0.8,44,7
1058,2020,0.48,25,1
1060,2019,0.87,13,1
1061,2021,0.98,86,3
1065,2022,0.74,62,3
1066,2022,0.24,8,6
1067,2021,0.11,45,9
1068,2019,0.35,18,0
1069,2019,0.29,88,0
1071,2021,0.23,60,0
1072,2020,0.04,2,9
1073,2022,0.02,66,9
1074,2022,0.99,91,2
1075,2022,0.43,14,5
1076,2020,0.38,48,9
1078,2020,0.22,12,0
1079,2019,0.95,96,5
1081,2020,0.09,55,6
1083,2020,0.88,89,6
1085,2021,0.47,90,0
1098,2022,0.78,99,6
1099,2020,0.35,49,5
1101,2021,0.97,47,7
1103,2020,0.93,50,7
1105,2020,0.17,26,7
1109,2021,0.15,78,4
1110,2019,0.82,25,7
1116,2021,0.09,65,8
1118,2019,0.27,20,4
1124,2020,0.66,92,4
1129,2019,0.26,68,0
1130,2022,0.72,71,5
1133,2019,0.22,5,3
1134,2020,0.68,98,9
1138,2019,0.48,57,0
1139,2020,0.59,51,5
1141,2019,0.35,24,4
1144,2020,0.27,17,5
1147,2020,0.66,62,0
1149,2021,0.87,84,9
1152,2019,0.7,8,1
1154,2021,0.62,93,3
1158,2022,0.87,60,0
1160,2021,0.83,21,0
1161,2019,0.13,86,9
1162,2019,0.34,42,3
1163,2019,0.74,74,6
1166,2019,0.83,80,0
1168,2020,0.01,17,5
1169,2019,0.29,30,5
1171,2019,0.98,53,6
1174,2019,0.63,85,5
1175,2022,0.54,17,8
1179,2020,0.54,64,4
1184,2022,0.1,81,6
1185,2022,0.94,65,0
1186,2022,0.69,37,2
1189,2019,0.71,2,4
1190,2022,0.07,59,3
1191,2019,0.58,96,2
1192,2021,0.35,5,4
1194,2019,0.05,31,0
1195,2022,0.87,76,1
1197,2022,0.97,94,2
1198,2019,0.75,48,7
1199,2019,0.13,6,7
1200,2022,0.76,15,3
1201,2020,0.02,15,5
1202,2019,0.02,61,8
1204,2020,0.49,20,1
1205,2022,0.77,77,1
1207,2019,0.45,42,7
1209,2022,1.0,95,8
1210,2022,0.43,34,2
1212,2021,0.16,29,9
1213,2019,0.79,3,7
1214,2020,0.69,9,4
1215,2020,0.22,75,9
1217,2020,0.68,25,6
1218,2019,0.65,86,8
1219,2020,0.27,42,5
1222,2019,0.43,84,6
1225,2019,0.64,74,1
1226,2022,0.4,22,9
1227,2020,0.27,29,1
1237,2020,0.47,62,2
1240,2021,0.87,46,9
1241,2021,0.78,5,0
1243,2021,0.84,90,3
1244,2019,0.76,53,5
1247,2020,0.03,11,2
1248,2020,0.92,10,7
1249,2021,0.62,39,7
1252,2020,0.12,12,7
1255,2020,0.43,67,8
1256,2020,0.2,66,6
1259,2022,0.58,11,3
1261,2019,0.8,35,5
1263,2021,0.46,22,0
1266,2020,0.39,55,3
1267,2021,0.48,75,0
1270,2022,0.69,95,6
1271,2019,0.86,72,7
1273,2019,0.04,20,0
1276,2020,0.24,18,4
1277,2020,0.99,51,9
1278,2019,0.14,68,2
1279,2020,0.5,20,8
1281,2021,0.7,80,3
1286,2019,0.09,59,5
1288,2020,0.03,41,5
1289,2021,0.08,38,7
1293,2022,0.69,15,7
1294,2022,0.8,3,2
1295,2022,0.2,37,1
1298,2022,0.64,14,4
1299,2019,0.71,9,5
1304,2022,0.71,15,1
1305,2021,0.87,52,1
1315,2021,0.64,7,7
1316,2020,0.53,7,5
1317,2021,0.73,50,3
1319,2020,0.06,47,7
1324,2020,0.98,41,0
1328,2020,0.66,5,0
1329,2019,0.5,64,1
1330,2022,0.56,29,9
1333,2020,1.0,96,6
1334,2020,0.97,36,6
1338,2021,0.07,22,8
1339,2020,0.03,34,1
1340,2019,0.26,56,7
1341,2021,0.46,17,7
1344,2020,0.74,56,3
1345,2020,0.43,17,4
1346,2021,0.35,74,1
1347,2022,0.37,92,1
1349,2022,0.04,18,2
1353,2022,0.73,56,9
1355,2019,0.87,50,3
1362,2022,0.62,98,1
1364,2020,0.73,69,3
1370,2019,0.97,70,8
1371,2021,0.18,14,7
1379,2020,0.59,20,5
1381,2020,0.39,99,3
1384,2019,0.66,19,0
1386,2022,0.77,97,4
1387,2022,0.13,66,4
1388,2022,0.97,13,6
1390,2022,0.24,61,5
1393,2020,0.52,30,4
1395,2021,0.83,88,9
1396,2021,0.43,48,4
1399,2022,0.71,82,7
1403,2020,0.74,19,0
1405,2020,0.47,79,9
1406,2021,0.84,41,4
1408,2022,0.59,87,2
1414,2019,0.53,87,6
1423,2021,0.15,25,0
1426,2022,0.0,82,2
1430,2022,0.45,44,9
1431,2020,0.52,14,1
1433,2021,0.67,16,0
1439,2021,0.67,77,4
1440,2021,0.97,20,4
1441,2020,0.09,49,5
1442,2021,0.67,35,3
1443,2021,0.44,23,6
1448,2021,0.94,55,8
1450,2020,0.5,8,8
1451,2021,0.62,40,4
1455,2021,0.93,7,9
1457,2019,0.68,85,4
1458,2019,0.22,6,5
1460,2020,0.39,36,5
1462,2019,0.11,45,6
1465,2019,0.05,9,7
1468,2021,0.87,75,1
1469,2021,0.78,49,9
1470,2022,0.57,2,8
1471,2019,0.74,67,8
1473,2021,0.4,50,0
1477,2022,0.76,31,7
1478,2022,0.8,92,2
1482,2020,0.54,25,0
1485,2021,0.37,25,5
1486,2021,0.4,75,9
1489,2021,0.45,1,9
1491,2022,0.37,69,9
1492,2020,0.23,74,4
1493,2021,0.07,42,5
1495,2022,0.67,66,8
1496,2020,0.62,18,6
1497,2019,0.46,77,3
1499,2019,0.86,20,4
1503,2020,0.34,94,4
1505,2021,0.4,32,1
1506,2021,0.58,58,2
1512,2020,0.96,86,5
1514,2019,0.2,22,4
1515,2022,0.01,43,1
1516,2020,0.65,83,1
1517,2022,0.9,81,0
1518,2022,0.24,88,2
1519,2022,0.93,36,6
1521,2021,0.93,52,6
1523,2022,0.1,28,5
1526,2020,0.28,36,0
1530,2020,0.31,64,5
1531,2022,0.61,76,3
1532,2019,0.72,61,1
1538,2021,0.18,31,6
1540,2020,0.71,58,0
1546,2020,0.81,8,8
1548,2019,0.04,15,3
1549,2019,0.63,7,8
1553,2019,0.88,37,0
1554,2019,0.23,83,3
1555,2020,0.21,39,4
1556,2022,0.61,6,2
1560,2019,0.35,81,9
1561,2022,0.24,19,0
1563,2019,0.27,31,1
1564,2021,0.82,75,1
1567,2020,0.1,87,3
1568,2020,0.62,67,6
1573,2022,0.86,20,9
1575,2021,0.1,93,3
1576,2021,0.02,86,5
1577,2022,0.64,50,9
1580,2020,0.23,21,0
1582,2020,0.59,96,7
1584,2022,0.99,13,9
1586,2019,0.7,23,3
1587,2019,0.4,50,9
1588,2020,0.43,87,5
1589,2022,0.72,95,6
1591,2019,0.99,67,7
1592,2019,0.13,85,2
1594,2022,0.72,2,4
1595,2021,0.58,68,0
1598,2022,0.09,57,6
1600,2019,0.19,70,2
1603,2020,0.35,44,3
1605,2021,0.52,65,2
1606,2022,0.07,39,4
1608,2019,0.23,26,7
1611,2021,0.65,22,8
1614,2022,0.33,14,6
1616,2020,0.99,30,6
1617,2019,0.66,44,4
1618,2022,0.56,84,5
1621,2019,0.06,59,0
1624,2019,0.18,63,2
1625,2020,0.69,61,9
1626,2022,0.2,34,8
1628,2019,0.1,41,5
1630,2019,0.76,65,7
1632,2022,0.66,32,3
1633,2021,0.8,8,3
1636,2020,0.4,45,0
1637,2020,0.15,93,1
1638,2022,0.99,96,5
1644,2020,0.09,97,7
1646,2022,0.13,40,4
1647,2020,0.83,5,5
1649,2022,0.71,24,6
1650,2019,0.04,17,4
1652,2021,0.26,71,8
1654,2020,0.09,92,8
1657,2021,0.31,15,2
1659,2021,0.45,53,9
1662,2020,0.92,91,7
1663,2022,0.5,32,5
1664,2021,0.99,21,3
1667,2019,0.93,83,4
1668,2021,0.12,66,8
1669,2019,0.82,90,2
1670,2022,0.38,98,9
1672,2019,0.87,15,4
1674,2019,0.79,34,6
1676,2020,0.08,83,5
1677,2020,0.4,9,8
1683,2021,0.82,35,0
1684,2019,0.13,13,9
1685,2021,0.86,79,2
1686,2022,0.92,46,9
1687,2019,0.49,56,2
1691,2022,0.5,3,7
1692,2022,0.4,98,7
1693,2019,0.15,19,3
1695,2020,0.07,23,6
1696,2022,0.03,7,5
1698,2022,0.96,14,3
1700,2020,0.97,15,7
1701,2019,0.43,67,5
1702,2020,0.31,15,2
1706,2020,0.64,69,4
1709,2020,0.65,63,9
1711,2021,0.06,78,5
1712,2020,0.78,16,1
1716,2021,0.06,57,9
1719,2019,0.24,99,9
1720,2021,0.14,79,5
1722,2020,0.3,67,7
1726,2019,0.51,74,0
1729,2020,0.62,80,8
1732,2021,0.53,67,2
1734,2019,0.13,12,1
1739,2020,0.41,44,2
1740,2019,0.83,57,5
1742,2021,0.77,16,0
1744,2022,0.42,21,1
1746,2021,0.02,51,7
1748,2022,0.76,60,7
1751,2019,0.22,6,6
1752,2021,0.01,73,8
1755,2021,0.8,58,1
1756,2022,0.96,78,1
1757,2020,0.49,6,1
1759,2019,0.55,86,1
1760,2019,0.45,34,2
1762,2021,0.1,75,7
1763,2019,0.49,3,3
1765,2019,0.32,62,7
1766,2021,0.74,6,0
1767,2022,0.48,6,7
1772,2019,0.89,90,6
1773,2022,0.96,95,9
1774,2022,0.79,90,3
1775,2021,0.32,56,7
1776,2022,0.69,96,7
1777,2022,0.44,10,8
1781,2021,0.9,92,6
1786,2022,0.64,96,3
1787,2022,0.61,49,1
1788,2019,0.07,34,4
1789,2019,0.52,44,2
1790,2022,0.15,22,9
1791,2021,0.74,31,4
1793,2021,0.68,21,8
1794,2019,0.04,16,1
1795,2022,0.08,20,8
1796,2021,0.72,43,9
1797,2021,0.07,44,5
1798,2019,0.07,47,5
1800,2022,0.96,48,9
1802,2021,0.35,79,3
1805,2021,0.77,79,4
1806,2019,0.66,29,7
1808,2022,0.17,68,7
1809,2020,0.1,36,5
1810,2020,0.66,48,0
1811,2019,0.76,87,9
1814,2019,0.08,67,6
1816,2022,0.3,74,7
1819,2020,0.38,14,1
1820,2020,0.21,63,0
1821,2021,0.12,81,1
1822,2019,0.62,85,5
1825,2020,0.53,58,3
1826,2020,0.04,15,9
1827,2021,0.97,65,2
1828,2021,0.8,88,5
1832,2020,0.58,42,4
1833,2022,0.75,95,5
1838,2021,0.93,19,0
1840,2019,0.37,73,4
1846,2020,0.12,83,4
1851,2021,0.82,55,1
1852,2020,0.86,73,3
1854,2021,0.92,48,7
1855,2020,0.25,4,8
1866,2022,0.04,47,6
1868,2022,0.13,84,9
1872,2019,0.51,30,9
1876,2021,0.59,46,2
1878,2022,0.3,31,8
1879,2020,0.57,70,7
1881,2020,0.87,56,7
1883,2020,0.76,93,2
1886,2020,0.01,54,4
1887,2019,0.25,53,5
1888,2020,0.73,12,3
1889,2020,0.99,20,6
1890,2022,0.1,82,2
1895,2019,0.73,27,0
1896,2020,0.62,17,1
1898,2020,0.36,21,3
1899,2019,0.78,50,0
1902,2022,0.76,3,3
1903,2021,0.04,17,3
1906,2019,0.96,90,0
1907,2020,0.37,87,4
1915,2022,0.72,19,6
1916,2022,0.89,29,3
1918,2019,0.39,32,0
1919,2021,0.41,10,3
1922,2019,0.62,65,6
1924,2022,0.79,59,8
1925,2019,0.09,45,9
1927,2020,0.48,51,9
1928,2021,0.64,95,2
1930,2021,0.58,86,5
1933,2020,0.6,6,2
1934,2019,0.68,67,4
1937,2020,0.83,9,8
1940,2022,0.06,92,8
1942,2021,0.78,77,1
1943,2022,0.71,38,7
1944,2019,0.79,43,7
1949,2019,0.43,70,8
1951,2021,0.22,49,5
1955,2020,0.93,71,2
1957,2019,0.42,21,2
1958,2020,0.64,1,9
1965,2019,0.59,19,7
1970,2021,0.02,36,2
1971,2022,0.83,55,8
1973,2021,0.52,27,0
1974,2022,0.3,77,7
1975,2020,0.94,78,9
1978,2020,0.87,30,8
1980,2020,0.19,13,7
1981,2020,0.8,16,2
1983,2021,0.48,71,3
1985,2022,0.08,45,4
1986,2019,0.73,35,9
1987,2019,0.5,79,6
1989,2020,0.73,99,3
1990,2020,0.77,7,5
1991,2019,0.16,62,8
1997,2021,0.07,61,6
2001,2020,0.25,39,9
2004,2020,0.27,50,3
2005,2020,0.76,79,7
2008,2021,0.07,22,8
2011,2021,0.06,66,6
2012,2021,0.91,43,3
2013,2020,0.14,82,7
2014,2021,0.53,23,9
2015,2022,0.41,77,7
2016,2021,0.35,64,0
2020,2020,0.96,54,4
2022,2020,0.94,2,7
2023,2021,0.05,4,5
2024,2020,0.42,78,3
2027,2022,0.98,64,5
2028,2020,0.26,14,6
2029,2020,0.65,20,4
2030,2022,0.2,89,9
2031,2022,0.57,49,7
2032,2020,0.46,8,6
2035,2022,0.35,46,7
2038,2020,0.23,32,7
2039,2020,0.25,8,6
2041,2020,0.56,16,4
2044,2019,0.86,18,9
2045,2022,0.72,35,2
2047,2020,0.71,15,7
2048,2019,0.54,63,7
2049,2019,0.08,53,4
2051,2020,0.48,81,3
2055,2022,0.67,64,3
2056,2021,0.46,98,3
2057,2020,0.41,34,2
2059,2022,0.55,59,2
2061,2021,0.51,17,1
2062,2022,0.81,78,3
2064,2019,0.05,46,4
2065,2019,0.79,38,1
2070,2022,0.76,61,8
2072,2020,0.2,17,3
2073,2019,0.88,28,2
2075,2021,0.87,90,2
2076,2019,0.24,8,0
2078,2021,0.98,59,4
2080,2020,0.03,95,4
2081,2020,0.07,59,7
2085,2019,0.5,76,0
2090,2022,0.78,84,8
2092,2022,0.2,1,8
2093,2022,0.52,27,7
2094,2021,0.29,67,2
2095,2020,0.79,12,1
2097,2019,0.63,9,1
2098,2021,0.8,53,3
2103,2022,0.7,42,2
2104,2019,0.79,49,6
2105,2022,0.32,4,9
2108,2022,0.28,51,2
2110,2020,0.14,72,1
2113,2022,0.89,79,5
2115,2020,0.15,31,8
2121,2019,0.51,22,1
2122,2020,0.97,3,6
2124,2020,0.98,99,6
2129,2021,0.43,48,3
2130,2022,0.16,65,4
2132,2019,0.56,8,9
2133,2019,0.53,50,7
2134,2020,0.72,80,0
2135,2020,0.89,38,2
2138,2022,0.19,37,7
