PU_ID,Team,Season,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets
179,Team A,2021,11.0,18.0,0,4,60.57,13.46,85,7,25,8
180,Team C,2022,2.0,6.0,0,3,65.53,7.17,1,2,16,7
183,Team C,2020,14.0,9.0,9,1,66.6,8.09,47,8,27,7
184,Team C,2022,18.0,9.0,5,2,94.17,8.38,97,3,20,4
185,Team A,2020,9.0,10.0,1,0,56.93,5.73,53,5,4,9
186,Team C,2021,8.0,9.0,4,4,72.19,12.15,45,7,22,3
193,Team C,2019,16.0,10.0,9,4,76.96,6.63,51,4,19,0
196,Team A,2022,24.0,15.0,3,0,89.01,13.45,20,12,0,2
200,Team B,2021,10.0,9.0,9,0,91.63,12.5,44,9,23,5
202,Team C,2021,0.0,14.0,4,2,50.37,7.2,53,6,14,0
203,Team A,2019,0.0,15.0,6,1,75.96,12.95,18,3,4,6
205,Team C,2020,20.0,16.0,8,0,52.88,13.82,39,0,25,6
207,Team A,2020,6.0,12.0,7,2,65.57,13.97,24,12,9,3
209,Team C,2021,9.0,14.0,3,2,67.46,7.54,35,3,26,5
210,Team A,2020,15.0,15.0,1,3,58.98,13.04,70,10,17,5
212,Team A,2019,21.0,7.0,6,0,55.77,7.39,23,5,8,5
213,Team B,2019,8.0,6.0,8,2,54.22,12.96,60,12,1,4
214,Team A,2022,5.0,16.0,1,3,95.5,13.22,91,13,21,9
216,Team C,2019,3.0,1.0,3,4,91.4,9.67,51,4,11,5
217,Team C,2020,14.0,16.0,6,2,61.52,12.81,35,12,4,7
219,Team B,2020,24.0,13.0,6,1,79.49,13.67,50,1,12,9
220,Team A,2022,1500.0,7.0,5,4,52.56,11.46,32,14,28,9
221,Team A,2020,12.0,4.0,1,1,94.98,6.86,52,9,28,7
222,Team B,2019,18.0,4.0,6,1,99.9,10.5,87,10,1,7
224,Team A,2021,25.0,4.0,8,1,61.58,5.27,37,11,13,0
228,Team B,2020,21.0,7.0,7,2,85.86,9.53,8,7,0,3
229,Team C,2022,28.0,12.0,8,1,65.05,10.08,31,0,24,1
230,Team A,2022,15.0,19.0,6,4,57.36,8.4,40,9,8,2
234,Team B,2020,220.0,15.0,6,0,74.21,10.62,90,8,13,6
235,Team A,2022,29.0,7.0,4,1,60.63,12.1,27,11,24,3
236,Team A,2022,24.0,16.0,6,1,73.16,13.75,42,8,1,7
237,Team C,2019,29.0,7.0,9,1,80.1,8.02,11,9,0,8
238,Team B,2019,100.0,14.0,1,2,90.07,12.47,68,3,27,1
239,Team A,2022,2.0,9.0,8,2,72.63,11.06,71,13,9,1
240,Team A,2020,23.0,0.0,1,4,112.3,10.03,16,13,22,1
241,Team B,2020,23.0,8.0,1,2,105.18,14.2,7,1,21,7
242,Team C,2019,16.0,16.0,4,3,94.99,11.2,97,0,18,1
244,Team B,2021,12.0,0.0,5,1,86.4,12.13,17,7,23,4
245,Team A,2021,9.0,8.0,8,0,63.45,14.6,9,10,19,9
247,Team C,2021,11.0,4.0,4,3,53.92,14.8,40,12,19,1
249,Team A,2021,23.0,4.0,7,4,70.44,9.43,68,14,10,1
252,Team C,2021,1.0,15.0,6,4,78.68,6.78,46,2,27,7
257,Team B,2020,250.0,13.0,1,1,71.55,8.89,2,10,24,6
259,Team A,2022,11.0,2.0,0,4,69.11,10.27,42,1,14,7
263,Team A,2022,10.0,1.0,3,4,115.03,6.3,5,10,0,2
266,Team B,2022,5.0,3.0,8,1,94.26,7.75,97,0,1,1
271,Team A,2021,8.0,5.0,6,1,52.44,6.29,37,7,15,7
273,Team B,2020,26.0,13.0,0,3,77.82,14.26,33,3,13,3
275,Team A,2021,3.0,5.0,4,4,70.56,10.08,46,11,22,9
276,Team B,2019,28.0,12.0,8,1,98.77,6.99,35,10,6,6
277,Team B,2021,19.0,14.0,7,0,58.64,12.82,15,12,18,3
282,Team C,2022,20.0,8.0,1,1,59.95,10.28,51,1,2,0
284,Team C,2019,25.0,5.0,1,4,62.44,6.52,75,0,18,6
288,Team B,2019,29.0,14.0,5,3,72.28,7.14,37,14,28,4
289,Team A,2020,18.0,14.0,6,2,111.08,14.5,28,6,22,1
292,Team B,2020,17.0,0.0,8,2,64.59,5.59,58,13,24,0
295,Team A,2020,1.0,10.0,5,2,53.29,6.03,25,6,4,1
298,Team A,2022,26.0,11.0,1,0,77.81,12.89,18,13,20,1
299,Team B,2020,22.0,3.0,4,2,63.97,7.74,95,13,1,6
300,Team C,2020,9.0,11.0,7,2,63.19,8.83,26,5,21,2
302,Team A,2020,20.0,17.0,4,3,98.98,7.52,51,6,10,5
303,Team B,2021,7.0,11.0,2,4,69.96,6.89,97,11,14,4
309,Team A,2022,18.0,9.0,5,2,89.94,11.68,66,6,5,7
310,Team B,2019,24.0,9.0,7,0,104.2,12.46,25,12,8,6
311,Team C,2020,6.0,5.0,4,1,93.3,5.51,5,13,16,0
312,Team A,2021,24.0,7.0,1,3,97.24,5.89,12,1,18,9
313,Team A,2020,1.0,17.0,4,0,56.29,10.63,26,13,11,1
314,Team A,2020,5.0,16.0,8,0,52.05,8.74,87,14,5,3
315,Team C,2022,4.0,9.0,5,3,55.29,11.99,9,12,15,8
317,Team C,2019,17.0,11.0,9,1,77.81,5.31,22,13,1,1
318,Team A,2022,3.0,19.0,5,1,83.56,11.84,46,6,25,7
320,Team C,2019,230.0,8.0,6,2,69.58,8.13,27,2,10,7
321,Team A,2022,12.0,15.0,9,0,77.28,12.36,76,1,14,4
323,Team C,2020,28.0,8.0,9,0,89.99,8.46,57,11,5,2
324,Team C,2021,20.0,5.0,9,4,96.14,5.89,1,12,27,6
327,Team C,2021,19.0,17.0,4,1,77.44,14.64,86,9,8,3
328,Team A,2021,40.0,10.0,7,3,61.8,8.18,63,11,24,5
329,Team C,2020,23.0,0.0,5,4,53.39,6.24,86,3,17,6
330,Team A,2020,2.0,18.0,3,2,62.29,14.38,64,8,25,7
339,Team B,2022,22.0,7.0,6,4,67.3,9.92,57,7,22,9
344,Team B,2021,2700.0,6.0,2,3,114.49,11.0,73,7,22,8
345,Team A,2019,200.0,15.0,5,1,59.01,8.22,82,6,19,7
346,Team C,2022,11.0,1.0,3,1,52.44,10.71,29,4,26,8
352,Team A,2020,120.0,6.0,2,1,58.83,6.07,54,10,5,3
354,Team C,2022,4.0,3.0,2,1,82.46,11.36,56,3,0,5
358,Team A,2020,2.0,14.0,7,3,54.25,8.65,98,13,28,4
359,Team B,2019,7.0,11.0,2,2,90.61,10.28,33,4,11,2
360,Team A,2020,5.0,9.0,4,3,95.47,9.6,56,6,2,5
362,Team C,2019,18.0,4.0,8,3,84.42,8.12,61,10,23,6
363,Team A,2021,16.0,6.0,7,3,52.77,6.67,38,8,9,6
364,Team C,2022,9.0,19.0,9,0,53.65,13.03,73,8,8,1
365,Team C,2022,0.0,10.0,1,4,58.98,5.39,66,6,16,5
369,Team C,2019,11.0,15.0,8,1,53.91,8.66,30,13,9,9
371,Team C,2019,9.0,0.0,2,0,99.69,5.76,38,2,17,4
372,Team A,2020,20.0,3.0,9,0,72.75,6.99,78,8,13,8
375,Team B,2022,0.0,3.0,9,0,69.15,14.97,82,2,12,7
377,Team A,2022,28.0,10.0,9,3,98.29,5.6,90,0,19,7
380,Team A,2022,21.0,11.0,8,1,118.93,12.1,70,3,19,0
382,Team B,2019,0.0,3.0,7,0,59.58,7.73,96,8,5,5
383,Team B,2021,26.0,9.0,3,0,93.01,8.29,53,12,28,1
385,Team B,2020,20.0,9.0,6,2,71.94,13.57,13,14,10,2
386,Team A,2019,8.0,12.0,9,0,52.68,10.78,2,12,6,3
387,Team A,2022,23.0,0.0,7,0,81.71,14.74,13,1,16,5
389,Team B,2020,15.0,10.0,4,0,74.9,12.06,80,10,18,0
390,Team A,2020,1500.0,7.0,0,1,55.08,5.89,38,14,11,9
393,Team C,2021,17.0,19.0,2,3,98.14,10.2,91,5,17,3
396,Team A,2020,28.0,19.0,8,2,73.98,6.33,80,2,19,7
398,Team A,2019,12.0,5.0,9,1,83.28,14.99,45,11,25,6
401,Team B,2020,9.0,16.0,1,0,81.34,12.3,6,4,7,8
403,Team B,2020,8.0,4.0,0,0,116.62,5.88,87,11,17,7
405,Team B,2020,24.0,15.0,7,3,73.64,14.16,77,13,3,9
406,Team B,2022,20.0,8.0,1,2,69.54,5.0,18,2,26,1
408,Team B,2021,150.0,9.0,4,3,74.69,11.29,89,11,0,6
412,Team B,2019,29.0,16.0,5,4,54.37,12.85,65,12,13,4
413,Team C,2019,14.0,15.0,5,2,78.99,11.75,64,2,10,5
415,Team B,2019,2.0,15.0,7,2,89.62,14.34,35,5,27,3
416,Team A,2021,4.0,14.0,8,0,63.38,6.29,34,14,27,9
417,Team A,2022,27.0,11.0,2,1,108.37,8.08,23,3,20,0
420,Team A,2021,50.0,4.0,4,0,95.21,8.79,0,6,8,1
422,Team A,2019,25.0,1.0,0,4,83.9,10.63,8,0,28,2
426,Team B,2020,18.0,11.0,6,2,69.32,12.38,73,4,0,7
430,Team B,2020,21.0,15.0,6,2,64.4,8.49,52,8,26,9
433,Team C,2022,15.0,9.0,9,4,65.1,11.47,18,5,21,2
440,Team B,2020,5.0,16.0,9,3,118.53,6.37,13,1,4,8
441,Team B,2019,3.0,18.0,1,3,88.28,8.22,60,8,3,8
443,Team B,2021,0.0,12.0,4,3,57.03,8.7,15,3,1,8
444,Team B,2020,16.0,2.0,9,4,69.44,6.43,70,10,4,1
445,Team C,2020,8.0,9.0,5,1,81.54,12.53,34,14,17,6
446,Team A,2020,15.0,13.0,2,0,79.52,13.45,7,2,1,6
448,Team A,2022,1.0,9.0,4,1,52.35,14.57,11,7,17,4
454,Team B,2020,16.0,9.0,6,1,90.08,14.24,40,12,8,1
455,Team B,2021,27.0,12.0,5,1,52.48,7.02,60,8,18,4
456,Team C,2022,28.0,3.0,8,4,57.31,13.46,95,13,0,5
457,Team A,2020,24.0,9.0,6,1,55.22,8.1,75,4,21,5
458,Team B,2019,14.0,11.0,3,3,53.26,12.34,84,4,24,2
460,Team C,2020,260.0,2.0,8,3,93.43,14.33,98,12,16,6
462,Team A,2019,29.0,18.0,0,3,60.53,5.5,58,7,19,5
463,Team C,2020,11.0,10.0,8,0,67.19,11.08,1,0,25,0
464,Team C,2022,5.0,6.0,6,1,68.02,13.35,5,14,16,9
468,Team B,2020,23.0,6.0,3,0,67.0,6.77,94,1,26,5
469,Team A,2021,14.0,8.0,2,2,119.72,11.44,40,6,4,6
470,Team B,2021,14.0,11.0,7,0,77.34,9.37,29,9,10,7
471,Team A,2021,7.0,5.0,7,1,103.82,7.18,66,0,10,8
473,Team B,2022,22.0,3.0,4,1,101.27,11.19,79,3,11,6
478,Team A,2022,14.0,19.0,3,2,74.5,12.0,27,14,6,0
484,Team A,2019,16.0,19.0,5,3,83.31,13.24,70,3,13,1
486,Team A,2020,19.0,18.0,0,4,84.4,12.03,12,13,14,2
487,Team A,2021,0.0,1.0,6,2,98.81,8.99,58,2,10,9
488,Team C,2021,15.0,11.0,7,3,72.81,13.19,3,7,12,2
491,Team B,2021,9.0,12.0,1,4,91.99,11.66,91,11,11,1
492,Team A,2019,220.0,0.0,3,1,56.65,14.26,59,7,27,3
497,Team C,2021,8.0,13.0,9,3,83.03,11.51,35,11,9,4
498,Team A,2019,130.0,9.0,4,1,94.34,5.5,18,2,17,9
500,Team A,2019,29.0,7.0,7,0,69.25,12.63,40,0,6,4
501,Team C,2019,12.0,13.0,1,1,96.39,14.41,47,13,22,2
502,Team A,2021,190.0,12.0,5,2,52.73,9.18,27,14,29,5
506,Team C,2020,12.0,19.0,9,0,91.79,14.36,42,9,28,3
509,Team C,2020,28.0,15.0,6,3,58.2,12.3,11,1,1,3
512,Team B,2019,4.0,14.0,6,3,55.06,11.59,41,11,26,8
513,Team A,2022,24.0,14.0,2,3,78.21,10.4,72,11,14,3
516,Team A,2022,4.0,19.0,0,0,61.68,13.09,93,8,25,4
517,Team A,2020,4.0,4.0,5,1,68.94,7.18,56,7,2,4
518,Team C,2020,22.0,7.0,2,0,98.63,9.74,83,3,16,2
523,Team B,2021,150.0,2.0,7,1,73.35,11.09,3,4,6,3
525,Team A,2019,29.0,16.0,7,0,63.09,9.32,12,6,24,1
527,Team B,2019,11.0,7.0,7,0,70.9,11.53,27,5,14,8
528,Team C,2019,14.0,12.0,2,0,71.26,13.51,11,5,7,4
529,Team C,2019,27.0,9.0,2,1,53.26,6.29,23,1,16,2
530,Team A,2022,5.0,2.0,0,0,66.03,12.57,91,14,26,3
531,Team A,2022,12.0,19.0,7,4,95.87,11.02,0,12,10,1
532,Team A,2019,10.0,13.0,7,2,62.51,8.08,33,0,15,6
533,Team B,2019,29.0,12.0,8,1,78.46,6.36,2,6,29,3
535,Team A,2020,160.0,12.0,1,0,93.11,9.41,84,4,29,7
537,Team B,2019,24.0,8.0,7,0,57.92,11.7,20,4,17,4
540,Team A,2020,19.0,11.0,6,1,52.32,11.48,43,4,17,7
541,Team A,2019,23.0,11.0,9,4,69.68,8.11,79,10,19,9
546,Team B,2022,12.0,6.0,8,2,50.59,11.79,37,10,28,9
549,Team A,2019,12.0,15.0,8,1,104.84,5.72,53,6,14,5
550,Team C,2019,11.0,10.0,3,1,55.6,10.53,95,0,23,0
551,Team C,2022,13.0,4.0,8,2,97.68,12.27,89,8,22,8
554,Team B,2022,8.0,15.0,9,2,68.04,9.68,54,11,14,3
555,Team A,2020,13.0,4.0,2,1,74.2,9.98,70,9,17,4
556,Team A,2022,0.0,6.0,1,1,96.51,7.74,42,3,2,0
558,Team C,2022,3.0,3.0,5,3,83.6,5.84,37,10,9,2
561,Team B,2021,230.0,14.0,6,3,98.76,6.62,60,3,14,5
562,Team A,2019,28.0,6.0,9,2,66.74,6.42,44,4,0,3
564,Team A,2021,8.0,4.0,8,3,53.89,11.32,28,7,15,8
568,Team B,2019,0.0,11.0,7,3,93.26,9.21,20,11,13,2
569,Team A,2019,25.0,17.0,4,1,75.5,9.22,44,13,14,0
571,Team B,2020,200.0,3.0,3,4,77.72,10.38,9,9,20,3
574,Team A,2022,13.0,13.0,2,3,71.86,5.59,27,11,23,7
575,Team A,2022,19.0,0.0,3,3,51.33,10.01,60,1,11,1
576,Team C,2022,1.0,10.0,1,1,80.12,5.23,29,4,25,9
577,Team C,2019,11.0,8.0,7,2,71.38,6.81,27,2,23,9
580,Team A,2021,12.0,9.0,6,1,90.05,6.85,67,2,1,1
581,Team B,2021,29.0,14.0,6,0,98.74,7.76,82,4,7,9
582,Team A,2021,19.0,9.0,0,4,76.37,8.74,73,13,26,9
584,Team C,2022,18.0,3.0,8,2,90.54,14.99,97,12,8,0
586,Team A,2019,0.0,7.0,7,1,97.7,13.11,63,6,13,6
587,Team A,2020,24.0,5.0,3,0,76.76,10.69,41,10,25,9
588,Team C,2020,10.0,10.0,7,0,67.86,14.61,43,3,5,9
590,Team C,2021,15.0,18.0,0,0,76.92,8.31,10,14,10,1
591,Team A,2022,18.0,10.0,7,0,50.8,11.11,35,11,26,0
593,Team C,2022,110.0,2.0,8,2,50.12,10.8,86,11,20,8
594,Team B,2022,2.0,14.0,2,0,86.89,13.18,38,1,12,0
595,Team A,2020,22.0,12.0,7,4,78.3,10.1,66,3,2,9
597,Team A,2021,17.0,4.0,8,4,90.65,7.51,91,2,24,8
602,Team B,2022,13.0,12.0,1,2,67.77,9.7,28,10,3,2
603,Team A,2022,18.0,2.0,0,4,91.05,8.11,49,2,2,0
604,Team A,2022,5.0,8.0,1,1,53.48,9.05,18,12,18,2
605,Team B,2019,20.0,7.0,4,2,62.19,12.82,55,5,26,1
606,Team C,2020,5.0,14.0,0,1,88.23,6.39,17,2,1,7
607,Team C,2020,110.0,0.0,9,2,82.09,7.53,44,8,4,9
610,Team A,2022,10.0,16.0,9,2,60.55,8.87,81,2,17,0
613,Team B,2020,25.0,7.0,7,3,56.06,13.92,67,4,11,7
615,Team B,2022,15.0,10.0,9,0,96.5,11.46,98,4,27,2
617,Team C,2021,160.0,16.0,2,4,76.44,8.84,82,5,21,6
619,Team A,2020,20.0,17.0,5,0,89.44,6.35,32,8,21,2
623,Team B,2019,7.0,12.0,1,1,59.62,14.85,2,13,21,2
624,Team B,2019,280.0,6.0,8,3,91.7,6.95,2,11,3,1
625,Team B,2021,20.0,13.0,6,2,52.03,10.01,29,14,11,1
636,Team B,2020,100.0,12.0,0,0,83.27,9.21,15,13,21,4
637,Team C,2022,17.0,11.0,3,1,97.64,10.16,25,0,17,4
639,Team A,2019,0.0,8.0,3,2,72.16,13.62,46,8,6,4
642,Team A,2020,25.0,16.0,4,4,67.33,10.12,18,5,5,2
643,Team C,2020,27.0,0.0,8,0,57.22,9.31,29,4,29,9
646,Team B,2020,5.0,8.0,6,2,80.48,6.82,47,4,27,5
647,Team B,2019,4.0,9.0,1,4,79.72,14.34,54,9,24,2
648,Team C,2022,280.0,3.0,8,0,66.74,8.98,29,0,2,7
650,Team C,2020,19.0,11.0,3,0,89.98,13.18,36,7,0,6
653,Team A,2022,10.0,8.0,1,4,50.82,7.37,95,0,23,7
654,Team C,2019,260.0,16.0,4,3,53.73,10.1,93,1,23,2
655,Team B,2020,50.0,13.0,1,4,58.79,10.79,85,4,26,8
656,Team B,2020,18.0,4.0,5,3,55.69,6.69,59,6,16,8
657,Team A,2022,24.0,0.0,8,0,59.59,10.81,87,12,8,2
659,Team C,2020,20.0,2.0,0,2,52.35,10.22,87,4,5,4
665,Team A,2021,20.0,18.0,5,0,83.78,8.68,30,2,14,6
667,Team C,2022,23.0,4.0,2,2,50.37,7.86,24,9,4,2
670,Team A,2022,16.0,15.0,2,0,69.98,7.6,66,12,25,1
671,Team A,2022,26.0,5.0,8,0,105.67,5.9,37,10,29,1
672,Team C,2019,17.0,19.0,2,0,107.27,7.06,95,5,12,5
675,Team C,2022,70.0,8.0,0,0,75.27,6.33,93,1,7,7
676,Team C,2019,28.0,6.0,6,1,67.48,12.58,63,5,17,1
678,Team A,2022,4.0,9.0,8,2,101.33,11.88,63,1,12,4
680,Team C,2022,1.0,12.0,1,2,57.76,13.55,82,6,22,9
681,Team B,2022,26.0,5.0,0,4,86.89,9.8,19,0,6,1
684,Team B,2020,21.0,7.0,3,4,52.07,10.34,81,7,1,9
688,Team C,2019,25.0,12.0,8,2,90.84,13.74,43,8,29,7
689,Team A,2022,20.0,17.0,0,3,70.61,12.35,54,11,13,7
690,Team A,2021,21.0,5.0,8,3,78.58,8.41,44,13,8,6
692,Team A,2020,15.0,8.0,6,4,89.58,12.9,51,3,16,0
693,Team B,2020,20.0,17.0,3,3,64.34,9.3,19,0,25,9
697,Team A,2020,9.0,12.0,4,3,64.8,6.15,57,6,23,4
705,Team C,2021,13.0,6.0,6,2,63.77,14.73,93,3,3,9
709,Team A,2021,180.0,17.0,2,1,69.0,13.96,87,5,7,0
710,Team C,2019,170.0,13.0,6,3,59.93,13.03,80,12,0,7
711,Team C,2022,13.0,10.0,5,1,54.02,5.86,26,5,21,1
714,Team B,2022,8.0,12.0,3,1,75.5,9.54,68,8,14,8
717,Team B,2022,26.0,0.0,6,1,60.37,8.87,23,9,9,7
718,Team A,2022,16.0,17.0,4,2,64.01,14.65,39,2,29,3
720,Team C,2021,22.0,3.0,3,3,97.17,6.6,8,13,5,7
722,Team C,2020,21.0,17.0,5,3,74.08,9.68,66,14,29,9
723,Team B,2022,15.0,4.0,5,3,57.89,6.81,22,0,2,4
724,Team A,2021,23.0,17.0,0,3,93.63,8.4,84,12,11,8
726,Team A,2019,22.0,6.0,1,2,71.57,9.3,71,8,21,0
730,Team A,2019,21.0,19.0,1,2,55.97,6.36,7,4,15,1
731,Team C,2020,0.0,13.0,7,0,51.38,8.99,18,14,11,0
732,Team B,2022,8.0,7.0,0,0,79.09,5.39,37,10,8,5
733,Team A,2020,9.0,11.0,7,2,60.9,8.7,99,4,7,8
736,Team C,2020,28.0,11.0,0,2,91.89,5.6,33,1,2,7
737,Team C,2021,17.0,3.0,0,4,77.78,5.62,73,7,3,1
738,Team C,2021,130.0,4.0,5,3,89.81,8.05,94,11,10,5
739,Team B,2019,27.0,8.0,2,1,68.59,12.71,10,12,9,1
744,Team B,2020,29.0,0.0,8,3,96.86,9.3,31,13,25,6
745,Team C,2022,18.0,14.0,7,0,66.89,5.48,48,11,18,3
746,Team A,2020,12.0,14.0,3,1,91.79,12.14,89,1,22,7
748,Team C,2021,20.0,14.0,7,4,88.36,13.81,56,5,23,9
749,Team B,2020,18.0,1.0,6,2,95.59,11.52,64,8,2,4
751,Team C,2020,19.0,16.0,6,2,76.31,12.67,92,9,22,1
753,Team C,2022,24.0,17.0,9,3,52.73,12.93,38,2,18,3
756,Team B,2021,22.0,5.0,2,3,102.84,11.36,95,10,26,8
759,Team B,2019,230.0,18.0,8,2,83.34,6.14,28,10,14,0
